ts,symbol,venue_a,venue_b,close_a,close_b,basis_bps
2026-07-09T14:00:00Z,ARB,HL,LIGHTER,0.08706,0.08679,31.1096
2026-07-09T15:00:00Z,ARB,HL,LIGHTER,0.08587,0.08579,9.3251
2026-07-09T16:00:00Z,ARB,HL,LIGHTER,0.08571,0.08578,-8.1604
2026-07-09T17:00:00Z,ARB,HL,LIGHTER,0.08837,0.08822,17.0029
2026-07-09T18:00:00Z,ARB,HL,LIGHTER,0.08991,0.08989,2.2249
2026-07-09T19:00:00Z,ARB,HL,LIGHTER,0.09004,0.09008,-4.4405
2026-07-09T20:00:00Z,ARB,HL,LIGHTER,0.09042,0.08994,53.3689
2026-07-09T21:00:00Z,ARB,HL,LIGHTER,0.089,0.08909,-10.1021
2026-07-09T22:00:00Z,ARB,HL,LIGHTER,0.0894,0.08922,20.1748
2026-07-09T23:00:00Z,ARB,HL,LIGHTER,0.08753,0.0877,-19.3843
2026-07-10T00:00:00Z,ARB,HL,LIGHTER,0.0873,0.08708,25.2641
2026-07-10T01:00:00Z,ARB,HL,LIGHTER,0.08964,0.08969,-5.5748
2026-07-10T02:00:00Z,ARB,HL,LIGHTER,0.09253,0.09284,-33.3908
2026-07-10T03:00:00Z,ARB,HL,LIGHTER,0.09166,0.0915,17.4863
2026-07-10T04:00:00Z,ARB,HL,LIGHTER,0.09181,0.09176,5.449
2026-07-10T05:00:00Z,ARB,HL,LIGHTER,0.09231,0.09265,-36.6972
2026-07-10T06:00:00Z,ARB,HL,LIGHTER,0.09269,0.09286,-18.3071
2026-07-10T07:00:00Z,ARB,HL,LIGHTER,0.09347,0.09332,16.0737
2026-07-10T08:00:00Z,ARB,HL,LIGHTER,0.09388,0.09395,-7.4508
2026-07-10T09:00:00Z,ARB,HL,LIGHTER,0.0938,0.09384,-4.2626
2026-07-10T10:00:00Z,ARB,HL,LIGHTER,0.09513,0.09526,-13.6469
2026-07-10T11:00:00Z,ARB,HL,LIGHTER,0.09437,0.09448,-11.6427
2026-07-10T12:00:00Z,ARB,HL,LIGHTER,0.09221,0.09245,-25.96
2026-07-10T13:00:00Z,ARB,HL,LIGHTER,0.09278,0.09269,9.7098
2026-07-10T14:00:00Z,ARB,HL,LIGHTER,0.09171,0.09164,7.6386
2026-07-10T15:00:00Z,ARB,HL,LIGHTER,0.09096,0.09079,18.7245
2026-07-10T16:00:00Z,ARB,HL,LIGHTER,0.09103,0.09045,64.1238
2026-07-10T17:00:00Z,ARB,HL,LIGHTER,0.09066,0.09085,-20.9136
2026-07-10T18:00:00Z,ARB,HL,LIGHTER,0.09045,0.09029,17.7207
2026-07-10T19:00:00Z,ARB,HL,LIGHTER,0.09103,0.09131,-30.6648
2026-07-10T20:00:00Z,ARB,HL,LIGHTER,0.09155,0.09267,-120.859
2026-07-10T21:00:00Z,ARB,HL,LIGHTER,0.09336,0.0935,-14.9733
2026-07-10T22:00:00Z,ARB,HL,LIGHTER,0.09351,0.09341,10.7055
2026-07-10T23:00:00Z,ARB,HL,LIGHTER,0.09291,0.09281,10.7747
2026-07-11T00:00:00Z,ARB,HL,LIGHTER,0.09139,0.09169,-32.7189
2026-07-11T01:00:00Z,ARB,HL,LIGHTER,0.09118,0.09147,-31.7044
2026-07-11T02:00:00Z,ARB,HL,LIGHTER,0.0929,0.09291,-1.0763
2026-07-11T03:00:00Z,ARB,HL,LIGHTER,0.09056,0.09093,-40.6906
2026-07-11T04:00:00Z,ARB,HL,LIGHTER,0.09059,0.09025,37.6731
2026-07-11T05:00:00Z,ARB,HL,LIGHTER,0.09026,0.08985,45.6316
2026-07-11T06:00:00Z,ARB,HL,LIGHTER,0.09061,0.09058,3.312
2026-07-11T07:00:00Z,ARB,HL,LIGHTER,0.09073,0.09078,-5.5078
2026-07-11T08:00:00Z,ARB,HL,LIGHTER,0.0909,0.09077,14.3219
2026-07-11T09:00:00Z,ARB,HL,LIGHTER,0.09119,0.09109,10.9782
