symbol,long_venue,short_venue,hours,coverage_pct,mean_bps_h,median_bps_h,stdev_bps_h,same_sign_frac,longest_run_h,carry_24h_p10,carry_24h_p50,carry_24h_p90,carry_24h_hit_frac,carry_7d_p10,carry_7d_p50,carry_7d_p90,carry_7d_hit_frac,hours_to_hurdle,annualised_pct,basis_hours,basis_mean_bps,basis_std_bps,basis_7d_move_max,basis_7d_move_p90,edge_7d_bps,windows_7d,rankable,mean_funding_long,mean_funding_short
PONS,HL,ASTER,178,12.361111,0.467952,0.27205,2.275289,0.595506,16,-17.67408,14.192769,41.697709,0.645161,75.481309,80.444027,84.050854,1.0,12.821837,40.992565,179,2.213233,28.839142,56.220186,50.346291,22.269588,11,True,0.823137,1.291088
ZEC,ASTER,LIGHTER,1440,100.0,0.123299,0.0525,0.195671,0.61875,55,0.29156,2.0272,6.1988,0.109386,8.30726,15.2069,40.9292,1.0,48.662102,10.801013,1440,-5.818505,6.952935,37.527672,15.116992,-0.40272,1273,True,0.05727,0.180569
ETH,ASTER,HL,1434,99.583333,0.046558,0.046763,0.084169,0.700139,196,-0.234357,1.1089,2.34919,0.014883,2.07668,6.491893,13.298371,0.576164,128.872272,4.078457,1440,-2.072502,2.764376,19.53421,6.154575,-4.332877,1267,True,0.057521,0.104079
ZEC,ASTER,HL,1440,100.0,0.109023,0.0345,0.2267,0.565972,55,-0.336999,1.815955,5.738252,0.093155,2.7289,11.249456,46.095973,0.703849,55.034444,9.550383,1440,-5.007072,7.823358,84.513447,17.17122,-4.855418,1273,True,0.05727,0.166293
ETH,ASTER,LIGHTER,1434,99.583333,0.037409,0.037406,0.083228,0.665969,126,-0.3392,0.846525,2.2316,0.011339,0.615252,4.511512,12.18233,0.394633,160.388482,3.277043,1440,-1.005903,2.241642,16.063975,5.286816,-5.002076,1267,True,0.057521,0.09493
SOL,ASTER,LIGHTER,1434,99.583333,0.036291,0.017475,0.121101,0.59205,36,-0.4618,0.6455,2.186287,0.013466,-0.562477,4.9777,15.197718,0.389897,165.33134,3.179071,1440,-1.444249,2.426311,28.479214,5.469613,-5.372765,1267,True,0.044588,0.080879
SOL,ASTER,HL,1434,99.583333,0.033798,0.0188,0.083502,0.582287,53,-0.753767,0.732847,2.388813,0.0,-1.47623,5.620067,11.366879,0.460142,177.523525,2.960734,1440,-2.135691,2.275567,12.823968,5.687017,-6.008896,1267,True,0.044588,0.078386
BTC,LIGHTER,HL,1440,100.0,0.023126,0.005,0.081213,0.793056,136,-0.853311,0.671258,1.762031,0.0,-0.8452,2.128364,10.570954,0.340927,259.443644,2.025873,1440,-0.988802,2.324458,25.159464,4.432682,-6.547445,1273,True,0.077264,0.10039
BTC,ASTER,HL,1434,99.583333,0.031235,0.032018,0.066341,0.6841,160,-0.616894,0.845664,1.942325,0.0,-1.342202,4.494587,9.50513,0.390687,192.08964,2.736223,1440,-1.691432,2.705641,15.575395,6.350269,-7.102719,1267,True,0.069078,0.100313
HYPE,LIGHTER,HL,1440,100.0,0.037747,0.005,0.137995,0.834028,153,-0.60778,0.532709,2.861896,0.007057,-2.681232,6.980711,12.919749,0.549882,158.953105,3.306636,1440,2.751574,4.635318,27.863651,8.832356,-8.490863,1273,True,0.081458,0.119205
