ts,venue,symbol,bps_per_hour
2026-07-09T14:00:00Z,HL,ARB,0.125
2026-07-09T15:00:00Z,HL,ARB,0.125
2026-07-09T16:00:00Z,HL,ARB,0.125
2026-07-09T17:00:00Z,HL,ARB,0.125
2026-07-09T18:00:00Z,HL,ARB,0.125
2026-07-09T19:00:00Z,HL,ARB,0.125
2026-07-09T20:00:00Z,HL,ARB,0.125
2026-07-09T21:00:00Z,HL,ARB,0.125
2026-07-09T22:00:00Z,HL,ARB,0.125
2026-07-09T23:00:00Z,HL,ARB,0.125
2026-07-10T00:00:00Z,HL,ARB,0.125
2026-07-10T01:00:00Z,HL,ARB,0.106932
2026-07-10T02:00:00Z,HL,ARB,0.125
2026-07-10T03:00:00Z,HL,ARB,0.125
2026-07-10T04:00:00Z,HL,ARB,0.125
2026-07-10T05:00:00Z,HL,ARB,0.125
2026-07-10T06:00:00Z,HL,ARB,0.125
2026-07-10T07:00:00Z,HL,ARB,0.125
2026-07-10T08:00:00Z,HL,ARB,0.125
2026-07-10T09:00:00Z,HL,ARB,0.125
2026-07-10T10:00:00Z,HL,ARB,0.125
2026-07-10T11:00:00Z,HL,ARB,0.125
2026-07-10T12:00:00Z,HL,ARB,0.125
2026-07-10T13:00:00Z,HL,ARB,0.125
2026-07-10T14:00:00Z,HL,ARB,0.125
2026-07-10T15:00:00Z,HL,ARB,0.125
2026-07-10T16:00:00Z,HL,ARB,0.125
2026-07-10T17:00:00Z,HL,ARB,0.125
2026-07-10T18:00:00Z,HL,ARB,0.125
2026-07-10T19:00:00Z,HL,ARB,0.125
2026-07-10T20:00:00Z,HL,ARB,0.125
2026-07-10T21:00:00Z,HL,ARB,0.125
2026-07-10T22:00:00Z,HL,ARB,0.125
2026-07-10T23:00:00Z,HL,ARB,0.125
2026-07-11T00:00:00Z,HL,ARB,0.125
2026-07-11T01:00:00Z,HL,ARB,0.125
2026-07-11T02:00:00Z,HL,ARB,0.026841
2026-07-11T03:00:00Z,HL,ARB,-0.049915
2026-07-11T04:00:00Z,HL,ARB,-0.041244
2026-07-11T05:00:00Z,HL,ARB,-0.025646
2026-07-11T06:00:00Z,HL,ARB,0.08278
2026-07-11T07:00:00Z,HL,ARB,0.125
2026-07-11T08:00:00Z,HL,ARB,0.125
2026-07-11T09:00:00Z,HL,ARB,0.125
2026-07-11T10:00:00Z,HL,ARB,0.125
2026-07-11T11:00:00Z,HL,ARB,0.125
2026-07-11T12:00:00Z,HL,ARB,0.125
2026-07-11T13:00:00Z,HL,ARB,0.125
2026-07-11T14:00:00Z,HL,ARB,0.125
2026-07-11T15:00:00Z,HL,ARB,0.125
2026-07-11T16:00:00Z,HL,ARB,0.125
2026-07-11T17:00:00Z,HL,ARB,0.125
2026-07-11T18:00:00Z,HL,ARB,0.125
2026-07-11T19:00:00Z,HL,ARB,0.125
2026-07-11T20:00:00Z,HL,ARB,0.125
2026-07-11T21:00:00Z,HL,ARB,0.125
2026-07-11T22:00:00Z,HL,ARB,0.125
2026-07-11T23:00:00Z,HL,ARB,0.125
2026-07-12T00:00:00Z,HL,ARB,0.125
2026-07-12T01:00:00Z,HL,ARB,0.125
2026-07-12T02:00:00Z,HL,ARB,0.125
2026-07-12T03:00:00Z,HL,ARB,0.125
2026-07-12T04:00:00Z,HL,ARB,0.125
2026-07-12T05:00:00Z,HL,ARB,0.125
2026-07-12T06:00:00Z,HL,ARB,0.125
2026-07-12T07:00:00Z,HL,ARB,0.125
2026-07-12T08:00:00Z,HL,ARB,0.125
2026-07-12T09:00:00Z,HL,ARB,0.125
2026-07-12T10:00:00Z,HL,ARB,0.125
2026-07-12T11:00:00Z,HL,ARB,0.125
2026-07-12T12:00:00Z,HL,ARB,0.125
2026-07-12T13:00:00Z,HL,ARB,0.125
2026-07-12T14:00:00Z,HL,ARB,0.125
2026-07-12T15:00:00Z,HL,ARB,0.125
2026-07-12T16:00:00Z,HL,ARB,0.125
2026-07-12T17:00:00Z,HL,ARB,0.125
2026-07-12T18:00:00Z,HL,ARB,0.125
2026-07-12T19:00:00Z,HL,ARB,0.125
2026-07-12T20:00:00Z,HL,ARB,0.125
2026-07-12T21:00:00Z,HL,ARB,0.125
2026-07-12T22:00:00Z,HL,ARB,0.125
2026-07-12T23:00:00Z,HL,ARB,0.125
2026-07-13T00:00:00Z,HL,ARB,0.125
2026-07-13T01:00:00Z,HL,ARB,0.125
2026-07-13T02:00:00Z,HL,ARB,0.125
2026-07-13T03:00:00Z,HL,ARB,0.125
2026-07-13T04:00:00Z,HL,ARB,0.125
