ts_utc,sell_venue,buy_venue,gross_bps,net_bps,sell_bid,sell_bid_size,buy_ask,buy_ask_size,sell_ask,buy_bid,funding_sell,funding_buy,age_sell_ms,age_buy_ms
2026-09-14T08:37:15.663+00:00,HL,ASTER,-13.4930,-20.2930,1555.4,45.257,1557.5,0.24,1555.5,1557.06,0.0000062500,,0.3,65.3
2026-09-14T08:37:15.663+00:00,ASTER,HL,10.0234,3.2234,1557.06,3.04,1555.5,2.808,1557.5,1555.4,,0.0000062500,65.3,0.3
2026-09-14T08:37:15.663+00:00,HL,ENTROPY,1.9290,-4.8710,1555.4,45.257,1555.1,0.0077,1555.5,1555.0,0.0000062500,0.0000017048,0.6,0.6
2026-09-14T08:37:15.663+00:00,ENTROPY,HL,-3.2149,-10.0149,1555.0,0.2149,1555.5,2.808,1555.1,1555.4,0.0000017048,0.0000062500,0.6,0.6
2026-09-14T08:37:15.663+00:00,ENTROPY,ASTER,-16.0651,-22.8651,1555.0,0.2149,1557.5,0.24,1555.1,1557.06,0.0000017048,,0.6,65.6
2026-09-14T08:37:15.663+00:00,ASTER,ENTROPY,12.5951,5.7951,1557.06,3.04,1555.1,0.0077,1557.5,1555.0,,0.0000017048,65.6,0.6
2026-09-14T08:37:16.705+00:00,HL,ENTROPY,0.0000,-6.8000,1555.6,19.18,1555.6,0.012,1555.7,1555.5,0.0000062500,0.0000017259,0.2,349.1
2026-09-14T08:37:16.705+00:00,HL,ASTER,-11.2442,-18.0442,1555.6,19.18,1557.35,2.62,1555.7,1556.8,0.0000062500,0.0003250100,0.2,47.0
2026-09-14T08:37:16.705+00:00,ENTROPY,HL,-1.2857,-8.0857,1555.5,0.2749,1555.7,0.041,1555.6,1555.6,0.0000017259,0.0000062500,349.1,0.2
2026-09-14T08:37:16.705+00:00,ASTER,HL,7.0678,0.2678,1556.8,0.78,1555.7,0.041,1557.35,1555.6,0.0003250100,0.0000062500,47.0,0.2
2026-09-14T08:37:16.736+00:00,ENTROPY,ASTER,-11.8871,-18.6871,1555.5,0.2749,1557.35,1.31,1555.6,1556.8,0.0000017259,0.0003250100,380.4,0.2
2026-09-14T08:37:16.736+00:00,ASTER,ENTROPY,7.7105,0.9105,1556.8,0.78,1555.6,0.012,1557.35,1555.5,0.0003250100,0.0000017259,0.2,380.4
2026-09-14T08:37:17.769+00:00,HL,ENTROPY,-3.2148,-10.0148,1555.1,2.976,1555.6,1.4606,1555.4,1555.1,0.0000062500,0.0000017259,0.3,94.0
2026-09-14T08:37:17.769+00:00,HL,ASTER,-13.2378,-20.0378,1555.1,2.976,1557.16,0.04,1555.4,1556.96,0.0000062500,0.0003250100,0.3,71.8
2026-09-14T08:37:17.769+00:00,ENTROPY,HL,-1.9289,-8.7289,1555.1,0.3132,1555.4,12.993,1555.6,1555.1,0.0000017259,0.0000062500,94.0,0.3
2026-09-14T08:37:17.769+00:00,ASTER,HL,10.0247,3.2247,1556.96,3.04,1555.4,12.993,1557.16,1555.1,0.0003250100,0.0000062500,71.8,0.3
2026-09-14T08:37:17.846+00:00,ENTROPY,ASTER,-13.2375,-20.0375,1555.1,0.3132,1557.16,0.04,1555.5,1556.96,0.0000017259,0.0003250100,0.3,148.6
2026-09-14T08:37:17.846+00:00,ASTER,ENTROPY,9.3819,2.5819,1556.96,3.04,1555.5,0.3073,1557.16,1555.1,0.0003250100,0.0000017259,148.6,0.3
2026-09-14T08:37:18.847+00:00,HL,ENTROPY,-1.9286,-8.7286,1555.4,31.448,1555.7,0.2128,1555.5,1555.5,0.0000062500,0.0000017259,0.3,189.5
2026-09-14T08:37:18.847+00:00,HL,ASTER,-12.4652,-19.2652,1555.4,31.448,1557.34,0.04,1555.5,1557.09,0.0000062500,0.0003250100,0.3,555.3
2026-09-14T08:37:18.847+00:00,ENTROPY,HL,0.0000,-6.8000,1555.5,0.1806,1555.5,21.735,1555.7,1555.4,0.0000017259,0.0000062500,189.5,0.3
2026-09-14T08:37:18.847+00:00,ASTER,HL,10.2163,3.4163,1557.09,3.04,1555.5,21.735,1557.34,1555.4,0.0003250100,0.0000062500,555.3,0.3
2026-09-14T08:37:18.847+00:00,ENTROPY,ASTER,-11.8219,-18.6219,1555.5,0.1806,1557.34,0.04,1555.8,1557.09,0.0000017259,0.0003250100,0.5,555.6
2026-09-14T08:37:18.847+00:00,ASTER,ENTROPY,8.2882,1.4882,1557.09,3.04,1555.8,0.218,1557.34,1555.5,0.0003250100,0.0000017259,555.6,0.5
2026-09-14T08:37:19.909+00:00,HL,ENTROPY,-1.9285,-8.7285,1555.5,2.966,1555.8,0.1705,1555.6,1555.7,0.0000062500,0.0000017259,0.3,238.8
2026-09-14T08:37:19.909+00:00,HL,ASTER,-12.6575,-19.4575,1555.5,2.966,1557.47,0.28,1555.6,1556.99,0.0000062500,0.0003250100,0.3,121.3
2026-09-14T08:37:19.909+00:00,ENTROPY,HL,0.6428,-6.1572,1555.7,0.2026,1555.6,8.253,1555.8,1555.5,0.0000017259,0.0000062500,238.8,0.3
2026-09-14T08:37:19.909+00:00,ASTER,HL,8.9309,2.1309,1556.99,3.04,1555.6,8.253,1557.47,1555.5,0.0003250100,0.0000062500,121.3,0.3
2026-09-14T08:37:19.926+00:00,ENTROPY,ASTER,-11.3720,-18.1720,1555.7,0.2026,1557.47,0.28,1555.8,1556.84,0.0000017259,0.0003250100,255.9,0.2
