ts_utc,venue,bid,ask,mid,levels_bid,levels_ask,bid_usd_2bps,bid_usd_5bps,bid_usd_10bps,ask_usd_2bps,ask_usd_5bps,ask_usd_10bps
2026-09-14T08:41:57.525+00:00,ENTROPY,1.33140000,1.33270000,1.33205000,20,20,94.26,148.70,365.72,13.33,40.52,76.00
2026-09-14T08:41:57.525+00:00,ASTER,1.33000000,1.33700000,1.33350000,10,12,1962.04,1962.04,6962.03,3284.14,3284.14,3284.14
2026-09-14T08:41:58.524+00:00,ENTROPY,1.33140000,1.33270000,1.33205000,20,20,94.26,148.70,365.72,13.33,40.52,76.00
2026-09-14T08:41:58.524+00:00,ASTER,1.33000000,1.33300000,1.33150000,10,15,1962.04,1962.04,6962.03,8999.99,8999.99,8999.99
2026-09-14T08:41:59.529+00:00,ENTROPY,1.33140000,1.33270000,1.33205000,20,20,94.26,148.70,365.72,13.33,40.52,76.00
2026-09-14T08:41:59.529+00:00,ASTER,1.33000000,1.33300000,1.33150000,10,15,1962.04,1962.04,6962.03,8999.99,8999.99,8999.99
2026-09-14T08:42:00.529+00:00,ENTROPY,1.33140000,1.33270000,1.33205000,20,20,94.26,148.70,365.72,13.33,40.52,76.00
2026-09-14T08:42:00.529+00:00,ASTER,1.33000000,1.33700000,1.33350000,10,12,1962.04,1962.04,6962.03,3284.14,3284.14,3284.14
2026-09-14T08:42:01.531+00:00,ENTROPY,1.33140000,1.33270000,1.33205000,20,20,94.26,148.70,365.72,13.33,40.52,76.00
2026-09-14T08:42:01.531+00:00,ASTER,1.33000000,1.33700000,1.33350000,10,12,1962.04,1962.04,6962.03,3284.14,3284.14,3284.14
2026-09-14T08:42:02.519+00:00,ENTROPY,1.33140000,1.33270000,1.33205000,20,20,94.26,148.70,365.72,13.33,40.52,76.00
2026-09-14T08:42:02.519+00:00,ASTER,1.33000000,1.33700000,1.33350000,10,12,1962.04,1962.04,6962.03,3284.14,3284.14,3284.14
2026-09-14T08:42:03.520+00:00,ENTROPY,1.33140000,1.33270000,1.33205000,20,20,94.26,148.70,365.72,13.33,40.52,76.00
2026-09-14T08:42:03.520+00:00,ASTER,1.33000000,1.33700000,1.33350000,10,12,1962.04,1962.04,6962.03,3284.14,3284.14,3284.14
2026-09-14T08:42:04.523+00:00,ENTROPY,1.33140000,1.33270000,1.33205000,20,20,94.26,148.70,365.72,13.33,40.52,76.00
2026-09-14T08:42:04.523+00:00,ASTER,1.33000000,1.33700000,1.33350000,10,12,1962.04,1962.04,6962.03,3284.14,3284.14,3284.14
2026-09-14T08:42:05.519+00:00,ENTROPY,1.33140000,1.33270000,1.33205000,20,20,94.26,148.70,365.72,13.33,40.52,76.00
2026-09-14T08:42:05.519+00:00,ASTER,1.33000000,1.33300000,1.33150000,10,15,1962.04,1962.04,6962.03,8999.99,8999.99,8999.99
2026-09-14T08:42:06.525+00:00,ENTROPY,1.33140000,1.33270000,1.33205000,20,20,94.26,129.27,346.29,13.33,40.52,76.00
2026-09-14T08:42:06.525+00:00,ASTER,1.32900000,1.33700000,1.33300000,7,12,4999.99,4999.99,4999.99,3202.50,3202.50,3202.50
2026-09-14T08:42:07.521+00:00,ENTROPY,1.33140000,1.33270000,1.33205000,20,20,94.26,129.27,346.29,13.33,40.52,76.00
2026-09-14T08:42:07.521+00:00,ASTER,1.33000000,1.33700000,1.33350000,12,12,4999.98,4999.98,4999.98,3202.50,3202.50,3202.50
2026-09-14T08:42:08.519+00:00,ENTROPY,1.33140000,1.33270000,1.33205000,20,20,94.26,129.27,346.29,13.33,40.52,76.00
2026-09-14T08:42:08.519+00:00,ASTER,1.33000000,1.33700000,1.33350000,12,12,4999.98,4999.98,4999.98,3202.50,3202.50,3202.50
2026-09-14T08:42:09.522+00:00,ENTROPY,1.33140000,1.33270000,1.33205000,20,20,94.26,129.27,346.29,13.33,40.52,76.00
2026-09-14T08:42:09.522+00:00,ASTER,1.33000000,1.33700000,1.33350000,12,12,4999.98,4999.98,4999.98,3202.50,3202.50,3202.50
2026-09-14T08:42:10.526+00:00,ENTROPY,1.33140000,1.33270000,1.33205000,20,20,94.26,129.27,346.29,13.33,40.52,76.00
2026-09-14T08:42:10.526+00:00,ASTER,1.33000000,1.33700000,1.33350000,12,12,4999.98,4999.98,4999.98,3202.50,3202.50,3202.50
2026-09-14T08:42:11.527+00:00,ENTROPY,1.33140000,1.33270000,1.33205000,20,20,94.26,129.27,346.29,13.33,40.52,76.00
2026-09-14T08:42:11.527+00:00,ASTER,1.33000000,1.33700000,1.33350000,12,12,4999.98,4999.98,4999.98,3202.50,3202.50,3202.50
2026-09-14T08:42:12.518+00:00,ENTROPY,1.33140000,1.33270000,1.33205000,20,20,94.26,148.57,365.59,13.33,40.52,76.00
2026-09-14T08:42:12.518+00:00,ASTER,1.33000000,1.33700000,1.33350000,11,12,4999.98,4999.98,4999.98,3202.50,3202.50,3202.50
2026-09-14T08:42:13.522+00:00,ENTROPY,1.33140000,1.33270000,1.33205000,20,20,94.26,148.57,365.59,13.33,40.52,76.00
2026-09-14T08:42:13.522+00:00,ASTER,1.33000000,1.33700000,1.33350000,11,12,4999.98,4999.98,4999.98,3202.50,3202.50,3202.50
2026-09-14T08:42:14.526+00:00,ENTROPY,1.33140000,1.33270000,1.33205000,20,20,94.26,148.57,365.59,13.33,40.52,76.00
2026-09-14T08:42:14.526+00:00,ASTER,1.33000000,1.33700000,1.33350000,11,12,4999.98,4999.98,6960.54,3202.50,3202.50,3202.50
2026-09-14T08:42:15.518+00:00,ENTROPY,1.33140000,1.33270000,1.33205000,20,20,94.26,148.57,365.59,13.33,40.52,76.00
2026-09-14T08:42:15.518+00:00,ASTER,1.33000000,1.33700000,1.33350000,10,12,6962.02,6962.02,11863.44,3202.50,3202.50,3202.50
2026-09-14T08:42:16.531+00:00,ENTROPY,1.33140000,1.33270000,1.33205000,20,20,94.26,148.57,365.59,13.33,40.52,76.00
2026-09-14T08:42:16.531+00:00,ASTER,1.33000000,1.33700000,1.33350000,10,12,6962.02,6962.02,11863.44,3202.50,3202.50,3202.50
2026-09-14T08:42:17.518+00:00,ENTROPY,1.33140000,1.33270000,1.33205000,20,20,94.26,148.57,365.59,13.33,40.52,76.00
2026-09-14T08:42:17.518+00:00,ASTER,1.33100000,1.33400000,1.33250000,11,14,444.18,444.18,7850.06,1021.27,1021.27,2043.31
2026-09-14T08:42:18.524+00:00,ENTROPY,1.33140000,1.33270000,1.33205000,20,20,94.26,148.57,365.59,13.33,40.52,76.00
2026-09-14T08:42:18.524+00:00,ASTER,1.33100000,1.33400000,1.33250000,11,14,444.18,444.18,7850.06,1021.27,1021.27,2043.31
2026-09-14T08:42:19.527+00:00,ENTROPY,1.33140000,1.33270000,1.33205000,20,20,94.26,148.57,365.59,13.33,40.52,76.00
2026-09-14T08:42:19.527+00:00,ASTER,1.33100000,1.33400000,1.33250000,11,14,444.18,444.18,7850.06,1021.27,1021.27,2043.31
2026-09-14T08:42:20.532+00:00,ENTROPY,1.33140000,1.33270000,1.33205000,20,20,94.26,148.57,365.59,13.33,40.52,76.00
2026-09-14T08:42:20.532+00:00,ASTER,1.33000000,1.33700000,1.33350000,10,11,6962.02,6962.02,11863.44,3202.50,3202.50,3202.50
2026-09-14T08:42:21.532+00:00,ENTROPY,1.33140000,1.33270000,1.33205000,20,20,94.26,148.57,365.59,13.33,40.52,76.00
2026-09-14T08:42:21.532+00:00,ASTER,1.33000000,1.33700000,1.33350000,10,11,6962.02,6962.02,11863.44,3202.50,3202.50,3202.50
2026-09-14T08:42:22.519+00:00,ENTROPY,1.33140000,1.33270000,1.33205000,20,20,94.26,129.27,346.29,13.33,40.52,76.00
2026-09-14T08:42:22.519+00:00,ASTER,1.33000000,1.33700000,1.33350000,10,11,6962.02,6962.02,11863.44,3202.50,3202.50,3202.50
2026-09-14T08:42:23.518+00:00,ENTROPY,1.33140000,1.33270000,1.33205000,20,20,94.26,129.27,346.29,13.33,40.52,76.00
2026-09-14T08:42:23.518+00:00,ASTER,1.33000000,1.33700000,1.33350000,10,11,6962.02,6962.02,11863.44,3202.50,3202.50,3202.50
2026-09-14T08:42:24.532+00:00,ENTROPY,1.33140000,1.33270000,1.33205000,20,20,94.26,129.27,346.29,13.33,40.52,76.00
2026-09-14T08:42:24.532+00:00,ASTER,1.33000000,1.33700000,1.33350000,10,11,6962.02,6962.02,11863.44,3202.50,3202.50,3202.50
2026-09-14T08:42:25.533+00:00,ENTROPY,1.33140000,1.33270000,1.33205000,20,20,94.26,129.27,346.29,13.33,40.52,76.00
2026-09-14T08:42:25.533+00:00,ASTER,1.33000000,1.33700000,1.33350000,11,11,6962.02,6962.02,11863.44,3202.50,3202.50,3202.50
2026-09-14T08:42:26.533+00:00,ENTROPY,1.33140000,1.33270000,1.33205000,20,20,94.26,129.27,346.29,13.33,40.52,76.00
2026-09-14T08:42:26.533+00:00,ASTER,1.33000000,1.33700000,1.33350000,10,11,6962.02,6962.02,11863.44,3202.50,3202.50,3202.50
2026-09-14T08:42:27.521+00:00,ENTROPY,1.33140000,1.33270000,1.33205000,20,20,94.26,129.27,346.29,13.33,40.52,76.00
2026-09-14T08:42:27.521+00:00,ASTER,1.33000000,1.33700000,1.33350000,10,11,6962.02,6962.02,11863.44,3202.50,3202.50,3202.50
2026-09-14T08:42:28.530+00:00,ENTROPY,1.33140000,1.33270000,1.33205000,20,20,94.26,157.48,357.20,13.33,40.52,5081.35
2026-09-14T08:42:28.530+00:00,ASTER,1.33000000,1.33700000,1.33350000,10,11,6962.02,6962.02,11863.44,3202.50,3202.50,3202.50
2026-09-14T08:42:29.533+00:00,ENTROPY,1.33140000,1.33270000,1.33205000,20,20,94.26,157.48,357.20,13.33,40.52,5081.35
2026-09-14T08:42:29.533+00:00,ASTER,1.33000000,1.33700000,1.33350000,10,11,6962.02,6962.02,11863.44,3202.50,3202.50,3202.50
2026-09-14T08:42:30.523+00:00,ENTROPY,1.33140000,1.33270000,1.33205000,20,20,94.26,157.48,357.20,13.33,40.52,5081.35
2026-09-14T08:42:30.523+00:00,ASTER,1.33000000,1.33700000,1.33350000,10,11,6962.02,6962.02,11863.44,3202.50,3202.50,3202.50
2026-09-14T08:42:31.525+00:00,ENTROPY,1.33140000,1.33270000,1.33205000,20,20,94.26,157.48,357.20,13.33,40.52,5081.35
2026-09-14T08:42:31.525+00:00,ASTER,1.33000000,1.33700000,1.33350000,10,11,6962.02,6962.02,11863.44,3202.50,3202.50,3202.50
2026-09-14T08:42:32.526+00:00,ENTROPY,1.33140000,1.33270000,1.33205000,20,20,94.26,157.48,357.20,13.33,40.52,5081.35
