ts_utc,venue,bid,ask,mid,levels_bid,levels_ask,bid_usd_2bps,bid_usd_5bps,bid_usd_10bps,ask_usd_2bps,ask_usd_5bps,ask_usd_10bps
2026-09-14T08:41:57.523+00:00,HL,1553.60000000,1553.70000000,1553.65000000,20,20,252147.92,597245.46,1409434.09,125352.07,254096.01,822013.54
2026-09-14T08:41:57.523+00:00,ENTROPY,1554.00000000,1554.30000000,1554.15000000,20,20,3588.76,10041.41,18760.04,2128.03,11547.61,47253.34
2026-09-14T08:41:57.523+00:00,ASTER,1555.38000000,1555.82000000,1555.60000000,331,477,10000.53,11182.33,26459.83,73015.11,75411.83,147703.74
2026-09-14T08:41:58.524+00:00,HL,1553.60000000,1553.70000000,1553.65000000,20,20,252147.92,597245.46,1409434.09,125352.07,254096.01,822013.54
2026-09-14T08:41:58.524+00:00,ENTROPY,1554.00000000,1554.30000000,1554.15000000,20,20,3588.76,10041.41,18760.04,2128.03,11547.61,47253.34
2026-09-14T08:41:58.524+00:00,ASTER,1555.65000000,1556.00000000,1555.82500000,332,479,78830.61,78970.56,88530.43,30113.58,32572.78,50150.02
2026-09-14T08:41:59.530+00:00,HL,1553.60000000,1553.70000000,1553.65000000,20,20,252147.92,597245.46,1409434.09,125352.07,254096.01,822013.54
2026-09-14T08:41:59.530+00:00,ENTROPY,1554.00000000,1554.30000000,1554.15000000,20,20,3588.76,10041.41,18760.04,2128.03,11547.61,47253.34
2026-09-14T08:41:59.530+00:00,ASTER,1555.52000000,1556.00000000,1555.76000000,332,478,78845.81,78970.21,110831.77,4590.44,7049.63,24626.87
2026-09-14T08:42:00.528+00:00,HL,1553.60000000,1553.70000000,1553.65000000,20,20,252147.92,597245.46,1409434.09,125352.07,254096.01,822013.54
2026-09-14T08:42:00.528+00:00,ENTROPY,1554.00000000,1554.30000000,1554.15000000,20,20,3588.76,10041.41,18760.04,2128.03,11547.61,47253.34
2026-09-14T08:42:00.528+00:00,ASTER,1555.87000000,1556.32000000,1556.09500000,332,476,23818.59,25171.74,32245.61,10380.96,10567.78,54240.04
2026-09-14T08:42:01.516+00:00,HL,1554.20000000,1554.30000000,1554.25000000,20,20,211142.53,549923.52,1156186.68,197450.41,422437.05,1253841.06
2026-09-14T08:42:01.516+00:00,ENTROPY,1554.40000000,1554.70000000,1554.55000000,20,20,5039.04,10487.70,70503.06,6222.04,11610.25,46562.52
2026-09-14T08:42:01.516+00:00,ASTER,1555.87000000,1556.32000000,1556.09500000,332,475,11948.28,13301.43,20375.30,60404.24,60591.05,104263.32
2026-09-14T08:42:02.519+00:00,HL,1554.20000000,1554.30000000,1554.25000000,20,20,211142.53,549923.52,1156186.68,197450.41,422437.05,1253841.06
2026-09-14T08:42:02.519+00:00,ENTROPY,1554.40000000,1554.70000000,1554.55000000,20,20,5039.04,10487.70,70503.06,6222.04,11610.25,46562.52
2026-09-14T08:42:02.519+00:00,ASTER,1555.97000000,1556.32000000,1556.14500000,334,476,63429.89,64767.49,71841.37,11688.78,11875.59,57307.61
2026-09-14T08:42:03.520+00:00,HL,1554.20000000,1554.30000000,1554.25000000,20,20,211142.53,549923.52,1156186.68,197450.41,422437.05,1253841.06
2026-09-14T08:42:03.520+00:00,ENTROPY,1554.40000000,1554.70000000,1554.55000000,20,20,5039.04,10487.70,70503.06,6222.04,11610.25,46562.52
2026-09-14T08:42:03.520+00:00,ASTER,1555.97000000,1556.32000000,1556.14500000,332,476,63430.22,64767.82,83733.31,11688.78,11875.59,57307.61
2026-09-14T08:42:04.522+00:00,HL,1554.20000000,1554.30000000,1554.25000000,20,20,211142.53,549923.52,1156186.68,197450.41,422437.05,1253841.06
2026-09-14T08:42:04.522+00:00,ENTROPY,1554.40000000,1554.70000000,1554.55000000,20,20,5039.04,10487.70,70503.06,6222.04,11610.25,46562.52
2026-09-14T08:42:04.522+00:00,ASTER,1555.89000000,1556.30000000,1556.09500000,332,476,9194.62,10532.22,49337.87,74157.87,74344.69,149392.36
2026-09-14T08:42:05.519+00:00,HL,1554.20000000,1554.30000000,1554.25000000,20,20,211142.53,549923.52,1156186.68,197450.41,422437.05,1253841.06
2026-09-14T08:42:05.519+00:00,ENTROPY,1554.40000000,1554.70000000,1554.55000000,20,20,5039.04,10487.70,70503.06,6222.04,11610.25,46562.52
