ts_utc,sell_venue,buy_venue,gross_bps,net_bps,sell_bid,sell_bid_size,buy_ask,buy_ask_size,sell_ask,buy_bid,funding_sell,funding_buy,age_sell_ms,age_buy_ms
2026-09-14T08:42:17.343+00:00,ENTROPY,ASTER,-19.5155,-26.3155,1.3314,70.8,1.334,765.57,1.3327,1.331,0.0002500232,0.0000000000,0.8,40.7
2026-09-14T08:42:17.343+00:00,ASTER,ENTROPY,-12.7601,-19.5601,1.331,333.72,1.3327,10.0,1.334,1.3314,0.0000000000,0.0002500232,40.7,0.8
2026-09-14T08:42:45.697+00:00,ENTROPY,ASTER,-42.0176,-48.8176,1.3314,70.8,1.337,798.43,1.3327,1.33,0.0002504610,0.0000000000,1668.6,0.2
2026-09-14T08:42:45.697+00:00,ASTER,ENTROPY,-20.2585,-27.0585,1.33,5234.6,1.3327,10.0,1.337,1.3314,0.0000000000,0.0002504610,0.2,1668.6
2026-09-14T08:42:55.842+00:00,ENTROPY,ASTER,-42.0176,-48.8176,1.3314,70.8,1.337,2395.05,1.3327,1.33,0.0002505907,0.0000000000,1003.6,0.1
2026-09-14T08:42:55.842+00:00,ASTER,ENTROPY,-20.2585,-27.0585,1.33,3730.85,1.3327,10.0,1.337,1.3314,0.0000000000,0.0002505907,0.1,1003.6
2026-09-14T08:43:00.418+00:00,ENTROPY,ASTER,-42.0176,-48.8176,1.3314,70.8,1.337,2395.05,1.3327,1.33,0.0002506323,0.0000000000,0.7,523.0
2026-09-14T08:43:00.418+00:00,ASTER,ENTROPY,-20.2585,-27.0585,1.33,5234.6,1.3327,10.0,1.337,1.3314,0.0000000000,0.0002506323,523.0,0.7
2026-09-14T08:43:06.045+00:00,ENTROPY,ASTER,-44.2760,-51.0760,1.3311,13.5,1.337,798.43,1.3321,1.33,0.0002506764,0.0000000000,287.7,0.3
2026-09-14T08:43:06.045+00:00,ASTER,ENTROPY,-15.7593,-22.5593,1.33,5234.6,1.3321,9.5,1.337,1.3311,0.0000000000,0.0002506764,0.3,287.7
2026-09-14T08:43:11.230+00:00,ENTROPY,ASTER,-39.7667,-46.5667,1.3317,9.8,1.337,2398.54,1.3324,1.33,0.0002507509,0.0000000000,0.4,1334.7
2026-09-14T08:43:11.230+00:00,ASTER,ENTROPY,-18.0075,-24.8075,1.33,5234.6,1.3324,9.5,1.337,1.3317,0.0000000000,0.0002507509,1334.7,0.4
2026-09-14T08:43:16.682+00:00,ENTROPY,ASTER,-39.7667,-46.5667,1.3317,9.8,1.337,2400.16,1.3324,1.33,0.0002508846,0.0000000000,0.7,370.8
2026-09-14T08:43:16.682+00:00,ASTER,ENTROPY,-18.0075,-24.8075,1.33,5234.6,1.3324,9.5,1.337,1.3317,0.0000000000,0.0002508846,370.8,0.7
2026-09-14T08:43:18.403+00:00,ENTROPY,ASTER,-32.2696,-39.0696,1.3317,9.8,1.336,724.22,1.3324,1.33,0.0002508846,0.0000000000,1721.7,0.2
2026-09-14T08:43:18.403+00:00,ASTER,ENTROPY,-18.0109,-24.8109,1.33,5234.6,1.3324,9.5,1.336,1.3317,0.0000000000,0.0002508846,0.2,1721.7
2026-09-14T08:43:21.964+00:00,ENTROPY,ASTER,-24.7543,-31.5543,1.3317,11.5,1.335,724.22,1.3327,1.333,0.0002509288,0.0000000000,0.6,1908.6
2026-09-14T08:43:21.964+00:00,ASTER,ENTROPY,2.2504,-4.5496,1.333,215.83,1.3327,10.0,1.335,1.3317,0.0000000000,0.0002509288,1908.6,0.6
2026-09-14T08:43:27.418+00:00,ENTROPY,ASTER,-24.0083,-30.8083,1.3318,13.9,1.335,724.22,1.3327,1.332,0.0002510109,0.0000000000,0.9,255.7
2026-09-14T08:43:27.418+00:00,ASTER,ENTROPY,-5.2518,-12.0518,1.332,433.16,1.3327,10.0,1.335,1.3318,0.0000000000,0.0002510109,255.7,0.9
2026-09-14T08:43:32.940+00:00,ENTROPY,ASTER,-24.7604,-31.5604,1.3317,12.6,1.335,724.22,1.3324,1.332,0.0002510674,0.0000000000,0.8,485.8
2026-09-14T08:43:32.940+00:00,ASTER,ENTROPY,-3.0013,-9.8013,1.332,424.5,1.3324,9.5,1.335,1.3317,0.0000000000,0.0002510674,485.8,0.8
2026-09-14T08:43:38.337+00:00,ENTROPY,ASTER,-39.7667,-46.5667,1.3317,12.6,1.337,2395.27,1.3324,1.33,0.0002511286,0.0000000000,0.5,1573.6
2026-09-14T08:43:38.337+00:00,ASTER,ENTROPY,-18.0075,-24.8075,1.33,5234.6,1.3324,9.5,1.337,1.3317,0.0000000000,0.0002511286,1573.6,0.5
2026-09-14T08:43:49.002+00:00,ENTROPY,ASTER,-23.2528,-30.0528,1.3319,9.5,1.335,728.36,1.3328,1.333,0.0002512535,0.0000000000,0.6,1238.7
2026-09-14T08:43:49.002+00:00,ASTER,ENTROPY,1.5002,-5.2998,1.333,303.76,1.3328,9.5,1.335,1.3319,0.0000000000,0.0002512535,1238.7,0.6
