symbol,sell_venue,buy_venue,notional_usd,common_step,step_origin,common_step_note,samples,quality_pass,pass,reject,hits,executable_hits,zero_opportunity,entry_fees_bps,entry_fees_note,exit_fee_assumption_bps,reserve_bps,mapping_verified,executable,gross_entry_bps_median,gross_entry_bps_min,gross_entry_bps_max,entry_after_fees_bps_median,entry_after_fees_bps_min,entry_after_fees_bps_max,funding_estimate_bps_median,funding_estimate_bps_min,funding_estimate_bps_max,event_age_sell_ms_max,event_age_buy_ms_max,max_event_age_ms,event_age_rejects,median_sample,reject_reasons,note
NVDA,ONDO,HL,100,unknown,quantity_step_unknown,"quantity_step_unknown: 63 moment(s) passed the quality gate but no real size_increment reached both legs, and 10**-size_precision is never used as a quantity step",683,63,0,683,0,0,true,3.40,,3.40,5.0,false,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,1158.686141,6732.579536,unknown,0,all,stale_book=411;event_skew=207;quantity_step_unknown=63;no_book=2,unknown
NVDA,ONDO,HL,500,unknown,quantity_step_unknown,"quantity_step_unknown: 63 moment(s) passed the quality gate but no real size_increment reached both legs, and 10**-size_precision is never used as a quantity step",683,63,0,683,0,0,true,3.40,,3.40,5.0,false,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,1158.686141,6732.579536,unknown,0,all,stale_book=411;event_skew=207;quantity_step_unknown=63;no_book=2,unknown
NVDA,ONDO,HL,1000,unknown,quantity_step_unknown,"quantity_step_unknown: 63 moment(s) passed the quality gate but no real size_increment reached both legs, and 10**-size_precision is never used as a quantity step",683,63,0,683,0,0,true,3.40,,3.40,5.0,false,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,1158.686141,6732.579536,unknown,0,all,stale_book=411;event_skew=207;quantity_step_unknown=63;no_book=2,unknown
NVDA,HL,ONDO,100,unknown,quantity_step_unknown,"quantity_step_unknown: 63 moment(s) passed the quality gate but no real size_increment reached both legs, and 10**-size_precision is never used as a quantity step",683,63,0,683,0,0,true,3.40,,3.40,5.0,false,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,6732.579536,1158.686141,unknown,0,all,stale_book=411;event_skew=207;quantity_step_unknown=63;no_book=2,unknown
NVDA,HL,ONDO,500,unknown,quantity_step_unknown,"quantity_step_unknown: 63 moment(s) passed the quality gate but no real size_increment reached both legs, and 10**-size_precision is never used as a quantity step",683,63,0,683,0,0,true,3.40,,3.40,5.0,false,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,6732.579536,1158.686141,unknown,0,all,stale_book=411;event_skew=207;quantity_step_unknown=63;no_book=2,unknown
NVDA,HL,ONDO,1000,unknown,quantity_step_unknown,"quantity_step_unknown: 63 moment(s) passed the quality gate but no real size_increment reached both legs, and 10**-size_precision is never used as a quantity step",683,63,0,683,0,0,true,3.40,,3.40,5.0,false,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,6732.579536,1158.686141,unknown,0,all,stale_book=411;event_skew=207;quantity_step_unknown=63;no_book=2,unknown
TSLA,ONDO,HL,100,unknown,quantity_step_unknown,"quantity_step_unknown: 62 moment(s) passed the quality gate but no real size_increment reached both legs, and 10**-size_precision is never used as a quantity step",596,62,0,596,0,0,true,3.40,,3.40,5.0,false,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,1139.089813,6716.345136,unknown,0,all,stale_book=336;event_skew=196;quantity_step_unknown=62;future_event_time=1;no_book=1,unknown
TSLA,ONDO,HL,500,unknown,quantity_step_unknown,"quantity_step_unknown: 62 moment(s) passed the quality gate but no real size_increment reached both legs, and 10**-size_precision is never used as a quantity step",596,62,0,596,0,0,true,3.40,,3.40,5.0,false,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,1139.089813,6716.345136,unknown,0,all,stale_book=336;event_skew=196;quantity_step_unknown=62;future_event_time=1;no_book=1,unknown
TSLA,ONDO,HL,1000,unknown,quantity_step_unknown,"quantity_step_unknown: 62 moment(s) passed the quality gate but no real size_increment reached both legs, and 10**-size_precision is never used as a quantity step",596,62,0,596,0,0,true,3.40,,3.40,5.0,false,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,1139.089813,6716.345136,unknown,0,all,stale_book=336;event_skew=196;quantity_step_unknown=62;future_event_time=1;no_book=1,unknown
TSLA,HL,ONDO,100,unknown,quantity_step_unknown,"quantity_step_unknown: 62 moment(s) passed the quality gate but no real size_increment reached both legs, and 10**-size_precision is never used as a quantity step",596,62,0,596,0,0,true,3.40,,3.40,5.0,false,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,6716.345136,1139.089813,unknown,0,all,stale_book=336;event_skew=196;quantity_step_unknown=62;no_book=2,unknown
