ts_utc,venue,bid,ask,mid,levels_bid,levels_ask,bid_usd_2bps,bid_usd_5bps,bid_usd_10bps,ask_usd_2bps,ask_usd_5bps,ask_usd_10bps
2026-09-19T09:31:39.331+00:00,ONDO,221.98000000,222.01000000,221.99500000,55,39,12762.05,31409.92,121534.48,4998.03,45558.05,72528.11
2026-09-19T09:31:39.331+00:00,HL,222.08000000,222.10000000,222.09000000,20,20,42683.05,141951.70,246053.85,71404.93,175677.82,317947.01
2026-09-19T09:31:40.327+00:00,ONDO,221.98000000,222.01000000,221.99500000,55,39,12762.05,31409.92,121534.48,4998.03,45558.05,72528.11
2026-09-19T09:31:40.327+00:00,HL,222.08000000,222.10000000,222.09000000,20,20,42683.05,141951.70,246053.85,71404.93,175677.82,317947.01
2026-09-19T09:31:41.323+00:00,ONDO,221.98000000,222.01000000,221.99500000,55,39,12762.05,31409.92,121534.48,4998.03,45558.05,72528.11
2026-09-19T09:31:41.323+00:00,HL,222.08000000,222.10000000,222.09000000,20,20,42683.05,141951.70,246053.85,71404.93,175677.82,317947.01
2026-09-19T09:31:42.321+00:00,ONDO,221.98000000,222.01000000,221.99500000,54,39,12761.91,31409.78,121534.34,4998.03,45558.05,72528.11
2026-09-19T09:31:42.321+00:00,HL,222.08000000,222.10000000,222.09000000,20,20,42683.05,141951.70,246053.85,71404.93,175677.82,317947.01
2026-09-19T09:31:43.320+00:00,ONDO,221.98000000,222.01000000,221.99500000,54,39,12761.91,31409.78,121534.34,4998.03,45558.05,72528.11
2026-09-19T09:31:43.320+00:00,HL,222.08000000,222.10000000,222.09000000,20,20,42683.05,141951.70,246053.85,71405.11,175677.99,317947.19
2026-09-19T09:31:44.320+00:00,ONDO,221.98000000,222.01000000,221.99500000,54,39,12761.91,31409.78,121534.34,4998.03,45558.05,72528.11
2026-09-19T09:31:44.320+00:00,HL,222.08000000,222.10000000,222.09000000,20,20,42683.05,141951.70,246053.85,71405.11,175677.99,317947.19
2026-09-19T09:31:45.322+00:00,ONDO,221.98000000,222.01000000,221.99500000,54,39,12761.91,31409.78,121534.34,4998.03,45558.05,72528.11
2026-09-19T09:31:45.322+00:00,HL,222.08000000,222.10000000,222.09000000,20,20,42683.05,141951.70,246053.85,71405.11,175677.99,317947.19
2026-09-19T09:31:46.318+00:00,ONDO,221.98000000,222.01000000,221.99500000,54,39,12761.91,31409.78,121534.34,4998.03,45558.05,72528.11
2026-09-19T09:31:46.318+00:00,HL,222.08000000,222.10000000,222.09000000,20,20,42683.05,141951.70,246053.85,71405.11,175677.99,317947.19
2026-09-19T09:31:47.333+00:00,ONDO,221.98000000,222.01000000,221.99500000,54,39,12761.91,31409.78,121534.34,4998.03,45558.05,72528.11
2026-09-19T09:31:47.333+00:00,HL,222.08000000,222.10000000,222.09000000,20,20,42683.05,141951.70,246053.85,71405.11,175677.99,317947.19
2026-09-19T09:31:48.319+00:00,ONDO,221.98000000,222.01000000,221.99500000,54,39,12761.91,31409.78,121534.34,4998.03,45558.05,72528.11
2026-09-19T09:31:48.319+00:00,HL,222.08000000,222.10000000,222.09000000,20,20,42683.05,145971.68,256770.91,71374.02,198199.55,362288.68
2026-09-19T09:31:49.321+00:00,ONDO,221.98000000,222.01000000,221.99500000,54,39,12761.91,31409.78,121534.34,4998.03,45558.05,72528.11
2026-09-19T09:31:49.321+00:00,HL,222.08000000,222.10000000,222.09000000,20,20,42683.05,145971.68,256770.91,71374.02,198199.55,362288.68
2026-09-19T09:31:50.321+00:00,ONDO,221.98000000,222.01000000,221.99500000,54,39,12761.91,31409.78,121534.34,4998.03,45558.05,72528.11
2026-09-19T09:31:50.321+00:00,HL,222.08000000,222.10000000,222.09000000,20,20,42683.05,145971.68,256770.91,71374.02,198199.55,362288.68
2026-09-19T09:31:51.323+00:00,ONDO,221.98000000,222.01000000,221.99500000,54,39,12761.91,31409.78,121534.34,4998.03,45558.05,72528.11
2026-09-19T09:31:51.323+00:00,HL,222.08000000,222.10000000,222.09000000,20,20,42683.05,145971.68,256770.91,71374.02,198199.55,362288.68
2026-09-19T09:31:52.320+00:00,ONDO,221.98000000,222.01000000,221.99500000,54,39,12761.91,31409.78,121534.34,4998.03,45558.05,72528.11
2026-09-19T09:31:52.320+00:00,HL,222.08000000,222.10000000,222.09000000,20,20,42683.05,145971.68,256770.91,71374.02,198199.55,362288.68
2026-09-19T09:31:53.321+00:00,ONDO,221.98000000,222.01000000,221.99500000,54,39,12761.91,31409.78,121534.34,4998.03,45558.05,72528.11
2026-09-19T09:31:53.321+00:00,HL,222.08000000,222.10000000,222.09000000,20,20,42683.05,145971.68,256770.91,71374.02,198199.55,362288.68
2026-09-19T09:31:54.324+00:00,ONDO,221.98000000,222.01000000,221.99500000,54,39,12761.91,31409.78,121534.34,4998.03,45558.05,72528.11
2026-09-19T09:31:54.324+00:00,HL,222.08000000,222.10000000,222.09000000,20,20,42683.05,141951.70,246053.85,71374.02,175646.90,317916.10
2026-09-19T09:31:55.325+00:00,ONDO,221.98000000,222.01000000,221.99500000,54,39,12761.91,31409.78,121534.34,4998.03,45558.05,72528.11
2026-09-19T09:31:55.325+00:00,HL,222.08000000,222.10000000,222.09000000,20,20,42683.05,141951.70,246053.85,71374.02,175646.90,317916.10
2026-09-19T09:31:56.326+00:00,ONDO,221.98000000,222.01000000,221.99500000,54,39,12761.91,31409.78,121535.60,4998.03,45558.05,72528.11
2026-09-19T09:31:56.326+00:00,HL,222.08000000,222.10000000,222.09000000,20,20,42683.05,141951.70,246053.85,71374.02,175646.90,317916.10
2026-09-19T09:31:57.322+00:00,ONDO,221.98000000,222.01000000,221.99500000,54,39,12761.91,31631.71,121757.53,4998.03,45558.05,72528.11
2026-09-19T09:31:57.322+00:00,HL,222.08000000,222.10000000,222.09000000,20,20,42683.05,141951.70,246053.85,71374.02,175646.90,317916.10
2026-09-19T09:31:58.321+00:00,ONDO,221.98000000,222.01000000,221.99500000,54,39,12761.91,31631.71,121757.53,4998.03,45558.05,72528.11
2026-09-19T09:31:58.321+00:00,HL,222.08000000,222.10000000,222.09000000,20,20,42683.05,141951.70,246053.85,71374.02,175646.90,317916.10
2026-09-19T09:31:59.324+00:00,ONDO,221.98000000,222.01000000,221.99500000,54,39,12761.91,31631.71,121756.27,4998.03,45558.05,72528.11
2026-09-19T09:31:59.324+00:00,HL,222.09000000,222.10000000,222.09500000,20,20,17332.63,114223.46,231235.43,67784.77,197572.98,361662.06
2026-09-19T09:32:00.318+00:00,ONDO,221.98000000,222.01000000,221.99500000,54,39,12153.68,31023.49,121148.05,4998.03,45558.05,72528.11
2026-09-19T09:32:00.318+00:00,HL,222.09000000,222.10000000,222.09500000,20,20,17332.63,114223.46,231235.43,67784.77,197572.98,361662.06
