ts_utc,venue,bid,ask,mid,levels_bid,levels_ask,bid_usd_2bps,bid_usd_5bps,bid_usd_10bps,ask_usd_2bps,ask_usd_5bps,ask_usd_10bps
2026-09-19T09:31:39.332+00:00,ONDO,364.29000000,364.41000000,364.35000000,75,70,10249.97,75567.20,124120.09,8593.46,12468.74,66480.83
2026-09-19T09:31:39.332+00:00,HL,364.59000000,364.60000000,364.59500000,20,20,24344.00,53114.46,77822.83,23816.39,51755.25,69793.70
2026-09-19T09:31:40.327+00:00,ONDO,364.29000000,364.41000000,364.35000000,75,70,10249.97,75567.20,124120.09,8593.46,12468.74,66480.83
2026-09-19T09:31:40.327+00:00,HL,364.59000000,364.60000000,364.59500000,20,20,24344.00,53114.46,77822.83,23816.39,51755.25,69793.70
2026-09-19T09:31:41.323+00:00,ONDO,364.29000000,364.41000000,364.35000000,75,70,10249.97,75567.20,124120.09,8593.46,12468.74,66480.83
2026-09-19T09:31:41.323+00:00,HL,364.59000000,364.60000000,364.59500000,20,20,24344.00,53114.46,77822.83,23816.39,51755.25,69793.70
2026-09-19T09:31:42.321+00:00,ONDO,364.29000000,364.41000000,364.35000000,76,70,10249.97,75567.20,124120.09,8593.46,12468.74,66480.83
2026-09-19T09:31:42.321+00:00,HL,364.59000000,364.60000000,364.59500000,20,20,24344.00,53114.46,77822.83,23816.39,51755.25,69793.70
2026-09-19T09:31:43.320+00:00,ONDO,364.29000000,364.41000000,364.35000000,76,70,10249.97,75567.20,124120.09,8593.46,12468.74,66480.83
2026-09-19T09:31:43.320+00:00,HL,364.59000000,364.60000000,364.59500000,20,20,22475.98,63302.13,85159.26,41393.45,121616.70,131753.51
2026-09-19T09:31:44.320+00:00,ONDO,364.29000000,364.41000000,364.35000000,76,70,10249.97,75567.20,124120.09,8593.46,12468.74,66480.83
2026-09-19T09:31:44.320+00:00,HL,364.59000000,364.60000000,364.59500000,20,20,22475.98,63302.13,85159.26,41393.45,121616.70,131753.51
2026-09-19T09:31:45.322+00:00,ONDO,364.29000000,364.41000000,364.35000000,76,70,10249.97,75567.20,124120.09,8593.46,12468.74,66480.83
2026-09-19T09:31:45.322+00:00,HL,364.59000000,364.60000000,364.59500000,20,20,22475.98,63302.13,85159.26,41393.45,121616.70,131753.51
2026-09-19T09:31:46.334+00:00,ONDO,364.29000000,364.41000000,364.35000000,76,70,10249.97,75567.20,124120.09,8593.46,12468.74,66480.83
2026-09-19T09:31:46.334+00:00,HL,364.59000000,364.60000000,364.59500000,20,20,22475.98,63302.13,85159.26,41393.45,121616.70,131753.51
2026-09-19T09:31:47.333+00:00,ONDO,364.29000000,364.41000000,364.35000000,75,70,10249.97,75567.20,124120.09,8593.46,12468.74,66480.83
2026-09-19T09:31:47.333+00:00,HL,364.59000000,364.60000000,364.59500000,20,20,22475.98,63302.13,85159.26,41393.45,121616.70,131753.51
2026-09-19T09:31:48.319+00:00,ONDO,364.29000000,364.41000000,364.35000000,76,70,10249.97,75567.20,124120.09,8593.46,12468.74,66480.83
2026-09-19T09:31:48.319+00:00,HL,364.59000000,364.60000000,364.59500000,20,20,22475.98,51246.45,75954.82,23816.39,51755.25,69793.70
2026-09-19T09:31:49.321+00:00,ONDO,364.29000000,364.41000000,364.35000000,76,70,10249.97,75567.20,124120.09,8593.46,12468.74,66480.83
2026-09-19T09:31:49.321+00:00,HL,364.59000000,364.60000000,364.59500000,20,20,22475.98,51246.45,75954.82,23816.39,51755.25,69793.70
2026-09-19T09:31:50.321+00:00,ONDO,364.29000000,364.41000000,364.35000000,76,70,10249.97,75567.20,124120.09,8593.46,12468.74,66480.83
2026-09-19T09:31:50.321+00:00,HL,364.59000000,364.60000000,364.59500000,20,20,22475.98,51246.45,75954.82,23816.39,51755.25,69793.70
2026-09-19T09:31:51.323+00:00,ONDO,364.29000000,364.41000000,364.35000000,76,70,10249.97,75567.20,124120.09,8593.46,12468.74,66480.83
2026-09-19T09:31:51.323+00:00,HL,364.59000000,364.60000000,364.59500000,20,20,22475.98,51246.45,75954.82,23816.39,51755.25,69793.70
2026-09-19T09:31:52.320+00:00,ONDO,364.29000000,364.41000000,364.35000000,76,70,10249.97,75567.20,124120.09,8593.46,12468.74,66480.83
2026-09-19T09:31:52.320+00:00,HL,364.59000000,364.60000000,364.59500000,20,20,22475.98,51246.45,75954.82,23816.39,51755.25,69793.70
2026-09-19T09:31:53.321+00:00,ONDO,364.29000000,364.41000000,364.35000000,76,70,10249.97,75567.20,124120.09,8593.46,12468.74,66480.83
2026-09-19T09:31:53.321+00:00,HL,364.59000000,364.60000000,364.59500000,20,20,22475.98,51246.45,75954.82,23816.39,51755.25,69793.70
2026-09-19T09:31:54.324+00:00,ONDO,364.29000000,364.41000000,364.35000000,76,70,10249.97,75567.20,124120.09,8593.46,12468.74,66480.83
2026-09-19T09:31:54.324+00:00,HL,364.59000000,364.60000000,364.59500000,20,20,22475.98,51246.45,75954.82,23816.39,51755.25,69793.70
2026-09-19T09:31:55.325+00:00,ONDO,364.29000000,364.41000000,364.35000000,76,70,10249.97,75567.20,124120.09,8593.46,12468.74,66480.83
2026-09-19T09:31:55.325+00:00,HL,364.59000000,364.60000000,364.59500000,20,20,22475.98,51246.45,75954.82,23816.39,51755.25,69793.70
2026-09-19T09:31:56.326+00:00,ONDO,364.29000000,364.41000000,364.35000000,75,70,10249.97,75567.20,124120.09,8593.46,12468.74,66480.83
2026-09-19T09:31:56.326+00:00,HL,364.59000000,364.60000000,364.59500000,20,20,22475.98,51246.45,75954.82,23816.39,51755.25,69793.70
2026-09-19T09:31:57.322+00:00,ONDO,364.29000000,364.41000000,364.35000000,75,70,10249.97,75567.20,124120.09,8593.46,12468.74,66480.83
