ts_utc,sell_venue,buy_venue,gross_bps,net_bps,sell_bid,sell_bid_size,buy_ask,buy_ask_size,sell_ask,buy_bid,funding_sell,funding_buy,age_sell_ms,age_buy_ms
2026-09-19T09:31:59.988+00:00,ONDO,HL,-5.4044,-13.8044,221.98,1.76,222.1,73.466,222.01,222.08,0.0000063000,0.0000062500,0.2,253.9
2026-09-19T09:31:59.988+00:00,HL,ONDO,3.1525,-5.2475,222.08,6.317,222.01,4.5,222.1,221.98,0.0000062500,0.0000063000,253.9,0.2
2026-09-19T09:32:01.879+00:00,ONDO,HL,-6.7556,-15.1556,221.95,18.01,222.1,73.466,222.01,222.09,0.0000063000,0.0000062500,0.2,1765.0
2026-09-19T09:32:01.879+00:00,HL,ONDO,3.6030,-4.7970,222.09,0.336,222.01,4.5,222.1,221.95,0.0000062500,0.0000063000,1765.0,0.2
2026-09-19T09:32:51.918+00:00,ONDO,HL,-6.7557,-15.1557,221.95,13.51,222.1,88.683,222.0,222.09,0.0000063000,0.0000062500,1.0,1224.8
2026-09-19T09:32:51.918+00:00,HL,ONDO,4.0534,-4.3466,222.09,0.336,222.0,4.5,222.1,221.95,0.0000062500,0.0000063000,1224.8,1.0
2026-09-19T09:33:09.023+00:00,ONDO,HL,-7.2060,-15.6060,221.94,13.51,222.1,91.461,222.02,222.09,0.0000063000,0.0000062500,406.2,0.2
2026-09-19T09:33:09.023+00:00,HL,ONDO,3.1526,-5.2474,222.09,0.336,222.02,4.5,222.1,221.94,0.0000062500,0.0000063000,0.2,406.2
2026-09-19T09:33:12.609+00:00,ONDO,HL,-7.6570,-16.0570,221.93,4.5,222.1,91.981,221.96,222.09,0.0000063000,0.0000062500,300.1,0.2
2026-09-19T09:33:12.609+00:00,HL,ONDO,5.8553,-2.5447,222.09,0.336,221.96,4.5,222.1,221.93,0.0000062500,0.0000063000,0.2,300.1
2026-09-19T09:33:13.758+00:00,ONDO,HL,-6.7566,-15.1566,221.93,4.5,222.08,82.314,221.96,222.05,0.0000063000,0.0000062500,1449.0,0.2
2026-09-19T09:33:13.758+00:00,HL,ONDO,4.0540,-4.3460,222.05,19.34,221.96,4.5,222.08,221.93,0.0000062500,0.0000063000,0.2,1449.0
2026-09-19T09:33:42.137+00:00,ONDO,HL,-5.8557,-14.2557,221.93,4.5,222.06,16.637,221.99,222.05,0.0000063000,0.0000062500,0.2,797.2
2026-09-19T09:33:42.137+00:00,HL,ONDO,2.7026,-5.6974,222.05,4.953,221.99,4.5,222.06,221.93,0.0000062500,0.0000063000,797.2,0.2
2026-09-19T09:33:43.289+00:00,ONDO,HL,-7.6585,-16.0585,221.88,4.5,222.05,4.503,221.97,222.0,0.0000063000,0.0000062500,533.8,0.2
2026-09-19T09:33:43.289+00:00,HL,ONDO,1.3515,-7.0485,222.0,6.0,221.97,15.51,222.05,221.88,0.0000062500,0.0000063000,0.2,533.8
2026-09-19T09:33:44.554+00:00,ONDO,HL,-6.3072,-14.7072,221.88,4.5,222.02,6.254,221.97,222.0,0.0000063000,0.0000062500,1798.1,0.1
2026-09-19T09:33:44.554+00:00,HL,ONDO,1.3515,-7.0485,222.0,7.662,221.97,15.51,222.02,221.88,0.0000062500,0.0000063000,0.1,1798.1
2026-09-19T09:33:47.751+00:00,ONDO,HL,-6.3072,-14.7072,221.88,4.5,222.02,17.536,221.97,222.01,0.0000063000,0.0000062500,0.2,1024.5
2026-09-19T09:33:47.751+00:00,HL,ONDO,1.8020,-6.5980,222.01,4.954,221.97,14.51,222.02,221.88,0.0000062500,0.0000063000,1024.5,0.2
2026-09-19T09:33:53.334+00:00,ONDO,HL,-5.8569,-14.2569,221.89,4.5,222.02,17.536,221.92,222.01,0.0000063000,0.0000062500,1212.8,0.1
2026-09-19T09:33:53.334+00:00,HL,ONDO,4.0548,-4.3452,222.01,0.45,221.92,4.5,222.02,221.89,0.0000062500,0.0000063000,0.1,1212.8
2026-09-19T09:34:07.393+00:00,ONDO,HL,-5.8570,-14.2570,221.89,18.01,222.02,17.536,221.92,222.0,0.0000063000,0.0000062500,0.1,222.9
2026-09-19T09:34:07.393+00:00,HL,ONDO,3.6043,-4.7957,222.0,12.559,221.92,4.5,222.02,221.89,0.0000062500,0.0000063000,222.9,0.1
2026-09-19T09:34:22.115+00:00,ONDO,HL,-5.4060,-13.8060,221.91,9.0,222.03,69.307,221.94,222.02,0.0000063000,0.0000062500,0.2,20.8
2026-09-19T09:34:22.115+00:00,HL,ONDO,3.6040,-4.7960,222.02,6.616,221.94,4.5,222.03,221.91,0.0000062500,0.0000063000,20.8,0.2
2026-09-19T09:34:32.419+00:00,ONDO,HL,-5.4056,-13.8056,221.93,4.5,222.05,47.475,221.96,222.02,0.0000063000,0.0000062500,226.5,0.2
2026-09-19T09:34:32.419+00:00,HL,ONDO,2.7028,-5.6972,222.02,40.678,221.96,4.5,222.05,221.93,0.0000062500,0.0000063000,0.2,226.5
2026-09-19T09:34:33.440+00:00,ONDO,HL,-5.4056,-13.8056,221.93,4.5,222.05,47.678,221.96,222.03,0.0000063000,0.0000062500,1247.5,0.2
2026-09-19T09:34:33.440+00:00,HL,ONDO,3.1533,-5.2467,222.03,6.239,221.96,4.5,222.05,221.93,0.0000062500,0.0000063000,0.2,1247.5
2026-09-19T09:34:42.190+00:00,ONDO,HL,-6.7571,-15.1571,221.9,46.32,222.05,47.678,221.96,222.04,0.0000063000,0.0000062500,0.2,1152.5
2026-09-19T09:34:42.190+00:00,HL,ONDO,3.6038,-4.7962,222.04,13.606,221.96,4.5,222.05,221.9,0.0000062500,0.0000063000,1152.5,0.2
2026-09-19T09:35:02.188+00:00,ONDO,HL,-5.4053,-13.8053,221.93,4.5,222.05,47.475,221.99,222.04,0.0000063000,0.0000062500,0.2,27.8
2026-09-19T09:35:02.188+00:00,HL,ONDO,2.2522,-6.1478,222.04,2.185,221.99,4.5,222.05,221.93,0.0000062500,0.0000063000,27.8,0.2
2026-09-19T09:35:03.365+00:00,ONDO,HL,-5.4055,-13.8055,221.93,4.5,222.05,65.267,221.96,222.04,0.0000063000,0.0000062500,1173.1,0.1
2026-09-19T09:35:03.365+00:00,HL,ONDO,3.6037,-4.7963,222.04,0.45,221.96,4.5,222.05,221.93,0.0000062500,0.0000063000,0.1,1173.1
2026-09-19T09:35:12.560+00:00,ONDO,HL,-5.4055,-13.8055,221.93,4.5,222.05,65.049,221.96,222.04,0.0000063000,0.0000062500,361.0,0.2
2026-09-19T09:35:12.560+00:00,HL,ONDO,3.6037,-4.7963,222.04,0.45,221.96,4.5,222.05,221.93,0.0000062500,0.0000063000,0.2,361.0
2026-09-19T09:35:22.206+00:00,ONDO,HL,-6.7571,-15.1571,221.9,46.32,222.05,60.546,221.96,222.04,0.0000063000,0.0000062500,0.2,1678.4
2026-09-19T09:35:22.206+00:00,HL,ONDO,3.6038,-4.7962,222.04,0.45,221.96,4.5,222.05,221.9,0.0000062500,0.0000063000,1678.4,0.2
2026-09-19T09:35:31.656+00:00,ONDO,HL,-5.4053,-13.8053,221.93,4.5,222.05,59.87,221.99,222.04,0.0000063000,0.0000062500,0.3,1692.2
2026-09-19T09:35:31.656+00:00,HL,ONDO,2.2522,-6.1478,222.04,0.285,221.99,4.5,222.05,221.93,0.0000062500,0.0000063000,1692.2,0.3
2026-09-19T09:35:42.283+00:00,ONDO,HL,-6.7574,-15.1574,221.9,4.5,222.05,118.719,221.93,222.04,0.0000063000,0.0000062500,626.2,0.2
2026-09-19T09:35:42.283+00:00,HL,ONDO,4.9554,-3.4446,222.04,0.285,221.93,4.5,222.05,221.9,0.0000062500,0.0000063000,0.2,626.2
2026-09-19T09:36:01.656+00:00,ONDO,HL,-6.3072,-14.7072,221.89,1.37,222.03,4.504,221.93,222.02,0.0000063000,0.0000062500,0.2,705.2
2026-09-19T09:36:01.656+00:00,HL,ONDO,4.0546,-4.3454,222.02,0.45,221.93,4.28,222.03,221.89,0.0000062500,0.0000063000,705.2,0.2
2026-09-19T09:36:16.863+00:00,ONDO,HL,-7.2084,-15.6084,221.87,36.69,222.03,6.159,221.93,222.02,0.0000063000,0.0000062500,0.1,60.3
2026-09-19T09:36:16.863+00:00,HL,ONDO,4.0547,-4.3453,222.02,0.45,221.93,4.5,222.03,221.87,0.0000062500,0.0000063000,60.3,0.1
