ts_utc,sell_venue,buy_venue,gross_bps,net_bps,sell_bid,sell_bid_size,buy_ask,buy_ask_size,sell_ask,buy_bid,funding_sell,funding_buy,age_sell_ms,age_buy_ms
2026-09-19T09:32:02.354+00:00,ONDO,HL,-9.6034,-18.0034,364.25,4.2,364.6,12.325,364.37,364.59,0.0000063000,0.0000062500,492.3,0.1
2026-09-19T09:32:02.354+00:00,HL,ONDO,6.0365,-2.3635,364.59,39.368,364.37,2.05,364.6,364.25,0.0000062500,0.0000063000,0.1,492.3
2026-09-19T09:32:03.391+00:00,ONDO,HL,-9.6034,-18.0034,364.25,6.25,364.6,6.275,364.37,364.59,0.0000063000,0.0000062500,0.3,510.8
2026-09-19T09:32:03.391+00:00,HL,ONDO,6.0365,-2.3635,364.59,30.058,364.37,2.05,364.6,364.25,0.0000062500,0.0000063000,510.8,0.3
2026-09-19T09:32:41.276+00:00,ONDO,HL,-8.5056,-16.9056,364.29,4.2,364.6,8.871,364.39,364.59,0.0000063000,0.0000062500,349.4,0.2
2026-09-19T09:32:41.276+00:00,HL,ONDO,5.4875,-2.9125,364.59,29.739,364.39,2.05,364.6,364.29,0.0000062500,0.0000063000,0.2,349.4
2026-09-19T09:33:30.749+00:00,ONDO,HL,-9.6033,-18.0033,364.25,4.2,364.6,15.837,364.39,364.59,0.0000063000,0.0000062500,849.4,0.2
2026-09-19T09:33:30.749+00:00,HL,ONDO,5.4876,-2.9124,364.59,29.465,364.39,2.05,364.6,364.25,0.0000062500,0.0000063000,0.2,849.4
2026-09-19T09:33:41.339+00:00,ONDO,HL,-10.7010,-19.1010,364.21,24.89,364.6,19.066,364.41,364.59,0.0000063000,0.0000062500,180.3,0.1
2026-09-19T09:33:41.339+00:00,HL,ONDO,4.9389,-3.4611,364.59,12.876,364.41,22.44,364.6,364.21,0.0000062500,0.0000063000,0.1,180.3
2026-09-19T09:33:42.687+00:00,ONDO,HL,-10.4271,-18.8271,364.21,25.89,364.59,2.743,364.41,364.53,0.0000063000,0.0000062500,0.2,503.3
2026-09-19T09:33:42.687+00:00,HL,ONDO,3.2928,-5.1072,364.53,5.209,364.41,22.44,364.59,364.21,0.0000062500,0.0000063000,503.3,0.2
2026-09-19T09:34:23.374+00:00,ONDO,HL,-7.1344,-15.5344,364.27,4.2,364.53,2.114,364.4,364.52,0.0000063000,0.0000062500,501.6,0.2
2026-09-19T09:34:23.374+00:00,HL,ONDO,3.2928,-5.1072,364.52,8.349,364.4,2.05,364.53,364.27,0.0000062500,0.0000063000,0.2,501.6
2026-09-19T09:34:32.213+00:00,ONDO,HL,-8.2321,-16.6321,364.24,21.67,364.54,3.302,364.4,364.53,0.0000063000,0.0000062500,0.2,1359.1
2026-09-19T09:34:32.213+00:00,HL,ONDO,3.5672,-4.8328,364.53,8.008,364.4,2.05,364.54,364.24,0.0000062500,0.0000063000,1359.1,0.2
2026-09-19T09:35:50.998+00:00,ONDO,HL,-7.1351,-15.5351,364.24,4.2,364.5,0.787,364.37,364.48,0.0000063000,0.0000062500,0.3,1556.5
2026-09-19T09:35:50.998+00:00,HL,ONDO,3.0187,-5.3813,364.48,2.744,364.37,2.04,364.5,364.24,0.0000062500,0.0000063000,1556.5,0.3
