symbol,sell_venue,buy_venue,notional_usd,common_step,step_origin,common_step_note,samples,quality_pass,pass,reject,hits,executable_hits,zero_opportunity,entry_fees_bps,entry_fees_note,exit_fee_assumption_bps,reserve_bps,mapping_verified,executable,gross_entry_bps_median,gross_entry_bps_min,gross_entry_bps_max,entry_after_fees_bps_median,entry_after_fees_bps_min,entry_after_fees_bps_max,funding_estimate_bps_median,funding_estimate_bps_min,funding_estimate_bps_max,event_age_sell_ms_max,event_age_buy_ms_max,max_event_age_ms,event_age_rejects,median_sample,reject_reasons,note
NVDA,ONDO,HL,100,0.010,instrument_metadata,,1515,128,128,1387,0,0,true,3.40,,3.40,5.0,false,false,-5.854800936768149882903981265,-7.205989979170185216461183359,-5.404309937174896980341822604,-9.254800936768149882903981265,-10.60598997917018521646118336,-8.804309937174896980341822604,0.00050000,0.00050000,0.00050000,1578.30677,7118.036272,unknown,0,all,stale_book=925;event_skew=460;future_event_time=1;no_book=1,unknown
NVDA,ONDO,HL,500,0.010,instrument_metadata,,1515,128,128,1387,0,0,true,3.40,,3.40,5.0,false,false,-5.854800936768149882903981265,-7.205989979170185216461183359,-5.404309937174896980341822604,-9.254800936768149882903981265,-10.60598997917018521646118336,-8.804309937174896980341822604,0.00050000,0.00050000,0.00050000,1578.30677,7118.036272,unknown,0,all,stale_book=925;event_skew=460;future_event_time=1;no_book=1,unknown
NVDA,ONDO,HL,1000,0.010,instrument_metadata,,1515,128,128,1387,0,0,true,3.40,,3.40,5.0,false,false,-5.854800936768149882903981265,-7.205989979170185216461183359,-5.404309937174896980341822604,-9.254800936768149882903981265,-10.60598997917018521646118336,-8.804309937174896980341822604,0.00050000,0.00050000,0.00050000,1578.30677,7118.036272,unknown,0,all,stale_book=925;event_skew=460;future_event_time=1;no_book=1,unknown
NVDA,HL,ONDO,100,0.010,instrument_metadata,,1515,128,128,1387,104,0,false,3.40,,3.40,5.0,false,false,3.604334211889797481471469442,1.802045321439834211830427535,4.625041295011562603237530408,0.204334211889797481471469442,-1.597954678560165788169572465,1.225041295011562603237530408,-0.00050000,-0.00050000,-0.00050000,7118.036272,1578.30677,unknown,0,all,stale_book=925;event_skew=460;no_book=2,unknown
NVDA,HL,ONDO,500,0.010,instrument_metadata,,1515,128,128,1387,89,0,false,3.40,,3.40,5.0,false,false,3.604070347976721960976082834,1.802045321439834211830427535,4.168543712646784995645251824,0.204070347976721960976082834,-1.597954678560165788169572465,0.768543712646784995645251824,-0.00050000,-0.00050000,-0.00050000,7118.036272,1578.30677,unknown,0,all,stale_book=925;event_skew=460;no_book=2,unknown
NVDA,HL,ONDO,1000,0.010,instrument_metadata,,1515,128,128,1387,89,0,false,3.40,,3.40,5.0,false,false,3.603847106786494582967317612,1.802045321439834211830427535,4.111481514851187794696220380,0.203847106786494582967317612,-1.597954678560165788169572465,0.711481514851187794696220380,-0.00050000,-0.00050000,-0.00050000,7118.036272,1578.30677,unknown,0,all,stale_book=925;event_skew=460;no_book=2,unknown
TSLA,ONDO,HL,100,0.010,instrument_metadata,,1360,135,135,1225,0,0,true,3.40,,3.40,5.0,false,false,-8.505442797467572999334654878,-9.877762686751450796394616619,-6.860781031312604626910727517,-11.90544279746757299933465488,-13.27776268675145079639461662,-10.26078103131260462691072752,0.00050000,0.00050000,0.00050000,1578.32487,7122.606472,unknown,0,all,stale_book=809;event_skew=414;future_event_time=1;no_book=1,unknown
TSLA,ONDO,HL,500,0.010,instrument_metadata,,1360,135,135,1225,0,0,true,3.40,,3.40,5.0,false,false,-8.505442797467572999334654878,-9.877762686751450796394616619,-6.860781031312604626910727517,-11.90544279746757299933465488,-13.27776268675145079639461662,-10.26078103131260462691072752,0.00050000,0.00050000,0.00050000,1578.32487,7122.606472,unknown,0,all,stale_book=809;event_skew=414;future_event_time=1;no_book=1,unknown
TSLA,ONDO,HL,1000,0.010,instrument_metadata,,1360,135,135,1225,0,0,true,3.40,,3.40,5.0,false,false,-8.505442797467572999334654878,-9.919821286999175951853718566,-6.860781031312604626910727517,-11.90544279746757299933465488,-13.31982128699917595185371857,-10.26078103131260462691072752,0.00050000,0.00050000,0.00050000,1578.32487,7122.606472,unknown,0,all,stale_book=809;event_skew=414;future_event_time=1;no_book=1,unknown
TSLA,HL,ONDO,100,0.010,instrument_metadata,,1360,135,135,1225,89,0,false,3.40,,3.40,5.0,false,false,4.938644204981171418968509284,2.469864226074905493389682828,6.036451938181244469443891865,1.538644204981171418968509284,-0.930135773925094506610317172,2.636451938181244469443891865,-0.00050000,-0.00050000,-0.00050000,7122.606472,1578.32487,unknown,0,all,stale_book=809;event_skew=414;no_book=2,unknown
TSLA,HL,ONDO,500,0.010,instrument_metadata,,1360,135,135,1225,89,0,false,3.40,,3.40,5.0,false,false,4.938644204981171418968509284,2.469864226074905493389682828,6.036451938181244469443891865,1.538644204981171418968509284,-0.930135773925094506610317172,2.636451938181244469443891865,-0.00050000,-0.00050000,-0.00050000,7122.606472,1578.32487,unknown,0,all,stale_book=809;event_skew=414;no_book=2,unknown
TSLA,HL,ONDO,1000,0.010,instrument_metadata,,1360,135,135,1225,87,0,false,3.40,,3.40,5.0,false,false,4.524086479745525642923707550,2.193431733618833345711031374,5.760064954946668578009499180,1.124086479745525642923707550,-1.206568266381166654288968626,2.360064954946668578009499180,-0.00050000,-0.00050000,-0.00050000,7122.606472,1578.32487,unknown,0,all,stale_book=809;event_skew=414;no_book=2,unknown
