ts_utc,direction,gross_bps,net_bps,bid_A,ask_A,bid_size_A,ask_size_A,bid_B,ask_B,bid_size_B,ask_size_B,funding_A,funding_B,age_A_ms,age_B_ms
2026-09-05T15:32:05.727+00:00,B_sell_A_buy,12.7173,5.9173,4432.0,4432.1,3.8918,10.4535,4437.74,4437.75,18.204,15.963,0.0000062500,0.0000000000,0.3,234.1
2026-09-05T15:32:05.736+00:00,B_sell_A_buy,12.7173,5.9173,4432.0,4432.1,3.8918,10.4535,4437.74,4437.75,18.204,15.936,0.0000062500,0.0000000000,9.7,0.2
2026-09-05T15:32:05.736+00:00,B_sell_A_buy,12.7173,5.9173,4432.0,4432.1,3.8918,10.4535,4437.74,4437.75,18.204,15.909,0.0000062500,0.0000000000,9.9,0.3
2026-09-05T15:32:05.736+00:00,B_sell_A_buy,12.7173,5.9173,4432.0,4432.1,3.8918,10.4535,4437.74,4437.75,18.204,15.415,0.0000062500,0.0000000000,9.9,0.4
2026-09-05T15:32:05.877+00:00,B_sell_A_buy,12.7173,5.9173,4432.0,4432.1,3.8918,10.4535,4437.74,4437.75,18.147,15.415,0.0000062500,0.0000000000,151.6,0.2
2026-09-05T15:32:05.941+00:00,B_sell_A_buy,12.7173,5.9173,4432.0,4432.1,3.8918,10.4535,4437.74,4437.75,18.147,15.358,0.0000062500,0.0000000000,215.1,0.3
2026-09-05T15:32:06.131+00:00,B_sell_A_buy,12.7173,5.9173,4432.0,4432.1,3.8918,10.4535,4437.74,4437.75,18.09,15.358,0.0000062500,0.0000000000,404.8,0.3
2026-09-05T15:32:06.131+00:00,B_sell_A_buy,12.7173,5.9173,4432.0,4432.1,3.8918,10.4535,4437.74,4437.75,18.09,15.301,0.0000062500,0.0000000000,405.0,0.4
2026-09-05T15:32:06.184+00:00,B_sell_A_buy,12.7173,5.9173,4432.0,4432.1,3.8918,10.4535,4437.74,4437.75,17.486,15.301,0.0000062500,0.0000000000,458.6,0.2
2026-09-05T15:32:06.184+00:00,B_sell_A_buy,12.7173,5.9173,4432.0,4432.1,3.8918,10.4535,4437.74,4437.75,17.431,15.301,0.0000062500,0.0000000000,458.8,0.4
2026-09-05T15:32:06.399+00:00,B_sell_A_buy,12.7173,5.9173,4432.0,4432.1,3.8918,10.4535,4437.74,4437.75,17.431,13.892,0.0000062500,0.0000000000,672.5,0.2
2026-09-05T15:32:06.399+00:00,B_sell_A_buy,12.7173,5.9173,4432.0,4432.1,3.8918,10.4535,4437.74,4437.75,17.431,15.301,0.0000062500,0.0000000000,672.7,0.4
2026-09-05T15:32:06.435+00:00,B_sell_A_buy,12.7173,5.9173,4432.0,4432.1,3.8918,10.4535,4437.74,4437.75,17.366,15.301,0.0000062500,0.0000000000,709.2,0.3
2026-09-05T15:32:06.491+00:00,B_sell_A_buy,12.7173,5.9173,4432.0,4432.1,3.8918,10.4535,4437.74,4437.75,17.366,15.236,0.0000062500,0.0000000000,765.2,0.2
2026-09-05T15:32:06.678+00:00,B_sell_A_buy,12.7173,5.9173,4432.0,4432.1,3.8918,10.4535,4437.74,4437.75,17.301,15.236,0.0000062500,0.0000000000,952.4,0.2
2026-09-05T15:32:06.679+00:00,B_sell_A_buy,12.7173,5.9173,4432.0,4432.1,3.8918,10.4535,4437.74,4437.75,17.301,15.171,0.0000062500,0.0000000000,952.5,0.3
2026-09-05T15:32:06.940+00:00,B_sell_A_buy,12.7173,5.9173,4432.0,4432.1,3.8918,10.4535,4437.74,4437.75,17.248,15.171,0.0000062500,0.0000000000,1213.7,0.2
2026-09-05T15:32:06.985+00:00,B_sell_A_buy,12.7173,5.9173,4432.0,4432.1,3.8918,10.4535,4437.74,4437.75,17.248,15.118,0.0000062500,0.0000000000,1258.8,0.2
2026-09-05T15:32:07.033+00:00,B_sell_A_buy,12.7173,5.9173,4432.0,4432.1,3.8918,10.4535,4437.74,4437.75,17.248,14.572,0.0000062500,0.0000000000,1307.8,0.1
2026-09-05T15:32:07.033+00:00,B_sell_A_buy,12.7173,5.9173,4432.0,4432.1,3.8918,10.4535,4437.74,4437.75,17.248,14.542,0.0000062500,0.0000000000,1307.9,0.2
2026-09-05T15:32:07.080+00:00,B_sell_A_buy,12.7173,5.9173,4432.0,4432.1,3.8918,10.4535,4437.74,4437.75,17.248,14.512,0.0000062500,0.0000000000,1354.2,0.2
2026-09-05T15:32:07.180+00:00,B_sell_A_buy,12.7173,5.9173,4432.0,4432.1,3.8918,10.4535,4437.74,4437.75,17.248,14.459,0.0000062500,0.0000000000,1454.1,0.2
2026-09-05T15:32:07.221+00:00,B_sell_A_buy,12.7173,5.9173,4432.0,4432.1,3.8918,10.4535,4437.74,4437.75,17.195,14.459,0.0000062500,0.0000000000,1494.5,0.2
