ts_utc,direction,gross_bps,net_bps,bid_A,ask_A,bid_size_A,ask_size_A,bid_B,ask_B,bid_size_B,ask_size_B,funding_A,funding_B,age_A_ms,age_B_ms
2026-09-04T13:31:04.659+00:00,B_sell_A_buy,6.1272,0.2272,230.0,230.05,0.653,64.919,230.191,230.251,0.104,2.126,0.0000062500,0.0004000000,0.1,139.0
2026-09-04T13:31:04.659+00:00,B_sell_A_buy,6.1272,0.2272,230.0,230.05,5.001,129.838,230.191,230.251,0.104,2.126,0.0000062500,0.0004000000,0.1,139.1
2026-09-04T13:31:04.853+00:00,B_sell_A_buy,5.9101,0.0101,230.0,230.04,0.653,21.56,230.176,230.249,2.691,12.945,0.0000062500,0.0004000000,0.1,41.9
2026-09-04T13:31:04.853+00:00,B_sell_A_buy,7.2140,1.3140,230.0,230.01,5.001,64.919,230.176,230.249,2.691,12.945,0.0000062500,0.0004000000,0.2,42.0
2026-09-04T13:31:04.853+00:00,B_sell_A_buy,6.3447,0.4447,230.0,230.03,6.988,23.069,230.176,230.249,2.691,12.945,0.0000062500,0.0004000000,0.4,42.2
2026-09-04T13:31:04.860+00:00,B_sell_A_buy,6.4316,0.5316,230.0,230.03,6.988,23.069,230.178,230.249,12.945,12.945,0.0000062500,0.0004000000,6.5,0.0
2026-09-04T13:31:04.860+00:00,B_sell_A_buy,6.4316,0.5316,230.0,230.03,6.988,23.069,230.178,230.248,12.945,1.987,0.0000062500,0.0004000000,6.6,0.1
2026-09-04T13:31:04.903+00:00,B_sell_A_buy,6.3881,0.4881,230.0,230.03,6.988,23.069,230.177,230.248,2.175,1.987,0.0000062500,0.0004000000,48.8,0.0
2026-09-04T13:31:04.919+00:00,B_sell_A_buy,6.3881,0.4881,230.0,230.03,6.988,23.069,230.177,230.249,2.175,12.945,0.0000062500,0.0004000000,64.7,0.0
2026-09-04T13:31:04.931+00:00,B_sell_A_buy,6.3881,0.4881,230.0,230.03,6.988,23.069,230.177,230.251,2.175,2.126,0.0000062500,0.0004000000,77.0,0.0
2026-09-04T13:31:04.950+00:00,B_sell_A_buy,6.3881,0.4881,230.0,230.03,6.988,22.831,230.177,230.251,2.175,2.126,0.0000062500,0.0004000000,0.0,19.1
2026-09-04T13:31:04.950+00:00,B_sell_A_buy,7.2574,1.3574,230.0,230.01,0.653,24.655,230.177,230.251,2.175,2.126,0.0000062500,0.0004000000,0.1,19.1
2026-09-04T13:31:04.957+00:00,B_sell_A_buy,7.2573,1.3573,230.0,230.01,0.653,24.655,230.177,230.261,2.175,1.988,0.0000062500,0.0004000000,7.9,0.0
2026-09-04T13:31:04.971+00:00,B_sell_A_buy,7.3442,1.4442,230.0,230.01,0.653,24.655,230.179,230.261,2.691,1.988,0.0000062500,0.0004000000,20.7,0.1
2026-09-04T13:31:04.971+00:00,B_sell_A_buy,7.3443,1.4443,230.0,230.01,0.653,24.655,230.179,230.25,2.691,2.225,0.0000062500,0.0004000000,20.8,0.1
2026-09-04T13:31:04.993+00:00,B_sell_A_buy,7.3442,1.4442,230.0,230.01,0.653,24.655,230.179,230.261,2.691,1.988,0.0000062500,0.0004000000,43.7,0.0
2026-09-04T13:31:05.004+00:00,B_sell_A_buy,7.3877,1.4877,230.0,230.01,0.653,24.655,230.18,230.261,1.902,1.988,0.0000062500,0.0004000000,55.0,0.0
2026-09-04T13:31:05.019+00:00,B_sell_A_buy,7.3876,1.4876,230.0,230.01,0.653,24.655,230.18,230.267,1.902,1.898,0.0000062500,0.0004000000,70.6,0.1
