ts_utc,direction,gross_bps,net_bps,bid_A,ask_A,bid_size_A,ask_size_A,bid_B,ask_B,bid_size_B,ask_size_B,funding_A,funding_B,age_A_ms,age_B_ms
2026-09-04T13:31:02.650+00:00,A_sell_B_buy,-7.2105,-13.1105,230.15,230.18,44.3,323.593,230.234,230.316,1.963,0.443,0.0000062500,0.0004000000,0.1,34.7
2026-09-04T13:31:02.650+00:00,B_sell_A_buy,2.3456,-3.5544,230.15,230.18,44.3,323.593,230.234,230.316,1.963,0.443,0.0000062500,0.0004000000,0.1,34.7
2026-09-04T13:31:03.668+00:00,A_sell_B_buy,-8.6464,-14.5464,230.07,230.08,0.869,54.328,230.191,230.269,0.104,1.907,0.0000062500,0.0004000000,446.0,0.1
2026-09-04T13:31:03.668+00:00,B_sell_A_buy,4.8229,-1.0771,230.07,230.08,0.869,54.328,230.191,230.269,0.104,1.907,0.0000062500,0.0004000000,446.0,0.1
2026-09-04T13:31:04.741+00:00,A_sell_B_buy,-10.9077,-16.8077,230.0,230.05,5.001,129.838,230.149,230.251,2.692,2.126,0.0000062500,0.0004000000,83.4,0.1
2026-09-04T13:31:04.741+00:00,B_sell_A_buy,4.3022,-1.5978,230.0,230.05,5.001,129.838,230.149,230.251,2.692,2.126,0.0000062500,0.0004000000,83.4,0.1
2026-09-04T13:31:05.789+00:00,A_sell_B_buy,-6.5619,-12.4619,230.06,230.07,44.3,244.478,230.122,230.211,2.09,0.869,0.0000062500,0.0004000000,51.9,0.1
2026-09-04T13:31:05.789+00:00,B_sell_A_buy,2.2597,-3.6403,230.06,230.07,44.3,244.478,230.122,230.211,2.09,0.869,0.0000062500,0.0004000000,51.9,0.1
2026-09-04T13:31:06.833+00:00,A_sell_B_buy,-11.1248,-17.0248,230.02,230.03,44.3,32.976,230.142,230.276,6.249,12.945,0.0000062500,0.0004000000,58.4,0.0
2026-09-04T13:31:06.833+00:00,B_sell_A_buy,4.8671,-1.0329,230.02,230.03,44.3,32.976,230.142,230.276,6.249,12.945,0.0000062500,0.0004000000,58.4,0.0
2026-09-04T13:31:07.858+00:00,A_sell_B_buy,-7.9968,-13.8968,230.03,230.05,132.75,160.713,230.069,230.214,25.89,2.018,0.0000062500,0.0004000000,195.6,0.0
2026-09-04T13:31:07.858+00:00,B_sell_A_buy,0.8258,-5.0742,230.03,230.05,132.75,160.713,230.069,230.214,25.89,2.018,0.0000062500,0.0004000000,195.6,0.0
2026-09-04T13:31:08.871+00:00,A_sell_B_buy,-11.0837,-16.9837,229.95,230.01,0.754,187.148,230.109,230.205,12.945,15.006,0.0000062500,0.0004000000,26.5,0.1
2026-09-04T13:31:08.871+00:00,B_sell_A_buy,4.3031,-1.5969,229.95,230.01,0.754,187.148,230.109,230.205,12.945,15.006,0.0000062500,0.0004000000,26.5,0.1
2026-09-04T13:31:09.876+00:00,A_sell_B_buy,-10.2148,-16.1148,229.96,229.98,0.869,108.319,230.097,230.195,2.645,0.275,0.0000062500,0.0004000000,22.3,0.0
2026-09-04T13:31:09.876+00:00,B_sell_A_buy,5.0857,-0.8143,229.96,229.98,0.869,108.319,230.097,230.195,2.645,0.275,0.0000062500,0.0004000000,22.3,0.0
2026-09-04T13:31:10.906+00:00,A_sell_B_buy,-9.8241,-15.7241,229.95,229.96,0.754,234.13,230.097,230.176,25.89,1.838,0.0000062500,0.0004000000,146.8,0.0
2026-09-04T13:31:10.906+00:00,B_sell_A_buy,5.9553,0.0553,229.95,229.96,0.754,234.13,230.097,230.176,25.89,1.838,0.0000062500,0.0004000000,146.8,0.0
