ts_utc,direction,gross_bps,net_bps,bid_A,ask_A,bid_size_A,ask_size_A,bid_B,ask_B,bid_size_B,ask_size_B,funding_A,funding_B,age_A_ms,age_B_ms
2026-09-04T13:31:02.574+00:00,B_sell_A_buy,15.9213,10.0213,363.91,363.94,2.719,3.663,364.52,364.8,1.0603,0.0384,0.0000062500,0.0004000000,0.1,19.2
2026-09-04T13:31:02.600+00:00,B_sell_A_buy,15.9223,10.0223,363.91,363.94,2.719,3.663,364.52,364.71,1.0603,0.2726,0.0000062500,0.0004000000,26.3,0.0
2026-09-04T13:31:02.664+00:00,B_sell_A_buy,16.4715,10.5715,363.91,363.92,1.92,22.329,364.52,364.71,1.0603,0.2726,0.0000062500,0.0004000000,0.1,64.9
2026-09-04T13:31:02.696+00:00,B_sell_A_buy,16.1971,10.2971,363.91,363.92,1.92,22.329,364.51,364.71,2.262,0.2726,0.0000062500,0.0004000000,31.8,0.1
2026-09-04T13:31:02.696+00:00,B_sell_A_buy,7.1393,1.2393,363.91,363.92,1.92,22.329,364.18,364.71,0.2742,0.2726,0.0000062500,0.0004000000,32.1,0.4
2026-09-04T13:31:02.719+00:00,B_sell_A_buy,10.7080,4.8080,363.91,363.92,1.92,22.329,364.31,364.71,82.2304,0.2726,0.0000062500,0.0004000000,54.3,0.1
2026-09-04T13:31:02.730+00:00,B_sell_A_buy,10.7085,4.8085,363.84,363.92,0.413,22.329,364.31,364.71,82.2304,0.2726,0.0000062500,0.0004000000,0.1,10.6
2026-09-04T13:31:02.762+00:00,B_sell_A_buy,7.4150,1.5150,363.84,363.92,0.413,22.329,364.19,364.55,2.262,1.0935,0.0000062500,0.0004000000,32.8,0.0
2026-09-04T13:31:02.786+00:00,B_sell_A_buy,7.4156,1.5156,363.84,363.92,0.413,22.329,364.19,364.44,2.262,0.2711,0.0000062500,0.0004000000,56.8,0.1
2026-09-04T13:31:02.814+00:00,B_sell_A_buy,7.6902,1.7902,363.84,363.92,0.413,22.329,364.2,364.44,1.0554,0.2711,0.0000062500,0.0004000000,84.8,0.1
2026-09-04T13:31:03.708+00:00,B_sell_A_buy,7.1363,1.2363,364.09,364.1,7.506,22.334,364.36,364.78,1.005,16.5656,0.0000062500,0.0004000000,0.1,53.1
2026-09-04T13:31:05.488+00:00,A_sell_B_buy,6.3166,0.4166,364.23,364.29,5.638,5.448,363.96,364.0,1.0102,8.2828,0.0000062500,0.0004000000,139.4,0.0
2026-09-04T13:31:05.488+00:00,A_sell_B_buy,6.3166,0.4166,364.23,364.29,5.638,5.448,363.96,364.0,0.0755,8.2828,0.0000062500,0.0004000000,139.5,0.1
2026-09-04T13:31:05.507+00:00,A_sell_B_buy,10.4382,4.5382,364.23,364.29,5.638,5.448,363.82,363.85,0.0384,5.9453,0.0000062500,0.0004000000,158.2,0.1
2026-09-04T13:31:06.239+00:00,B_sell_A_buy,6.5911,0.6911,363.84,363.99,0.031,88.287,364.23,364.45,0.0391,68.6949,0.0000062500,0.0004000000,142.1,0.1
2026-09-04T13:31:06.921+00:00,B_sell_A_buy,6.0399,0.1399,364.03,364.1,22.33,6.182,364.32,364.52,1.0379,0.0755,0.0000062500,0.0004000000,137.5,0.0
2026-09-04T13:31:07.008+00:00,B_sell_A_buy,6.0400,0.1400,364.03,364.1,22.33,6.182,364.32,364.51,1.0379,8.2828,0.0000062500,0.0004000000,224.8,0.0
2026-09-04T13:31:07.008+00:00,B_sell_A_buy,6.0399,0.1399,364.03,364.1,22.33,6.182,364.32,364.52,1.0379,0.0755,0.0000062500,0.0004000000,224.8,0.1
2026-09-04T13:31:07.315+00:00,B_sell_A_buy,7.4102,1.5102,364.18,364.24,6.052,0.412,364.51,364.52,0.8921,0.0755,0.0000062500,0.0004000000,153.5,0.1
2026-09-04T13:31:07.315+00:00,B_sell_A_buy,6.0376,0.1376,364.21,364.29,0.412,0.549,364.51,364.52,0.8921,0.0755,0.0000062500,0.0004000000,0.2,0.2
