ts_utc,direction,gross_bps,net_bps,bid_A,ask_A,bid_size_A,ask_size_A,bid_B,ask_B,bid_size_B,ask_size_B,funding_A,funding_B,age_A_ms,age_B_ms
2026-09-04T13:31:02.574+00:00,A_sell_B_buy,-24.4309,-30.3309,363.91,363.94,2.719,3.663,364.52,364.8,1.0603,0.0384,0.0000062500,0.0004000000,0.1,19.2
2026-09-04T13:31:02.574+00:00,B_sell_A_buy,15.9213,10.0213,363.91,363.94,2.719,3.663,364.52,364.8,1.0603,0.0384,0.0000062500,0.0004000000,0.1,19.2
2026-09-04T13:31:02.600+00:00,A_sell_B_buy,-21.9617,-27.8617,363.91,363.94,2.719,3.663,364.52,364.71,1.0603,0.2726,0.0000062500,0.0004000000,26.3,0.0
2026-09-04T13:31:02.600+00:00,B_sell_A_buy,15.9223,10.0223,363.91,363.94,2.719,3.663,364.52,364.71,1.0603,0.2726,0.0000062500,0.0004000000,26.3,0.0
2026-09-04T13:31:02.664+00:00,A_sell_B_buy,-21.9620,-27.8620,363.91,363.92,1.92,22.329,364.52,364.71,1.0603,0.2726,0.0000062500,0.0004000000,0.1,64.9
2026-09-04T13:31:02.664+00:00,B_sell_A_buy,16.4715,10.5715,363.91,363.92,1.92,22.329,364.52,364.71,1.0603,0.2726,0.0000062500,0.0004000000,0.1,64.9
2026-09-04T13:31:02.696+00:00,A_sell_B_buy,-21.9622,-27.8622,363.91,363.92,1.92,22.329,364.51,364.71,2.262,0.2726,0.0000062500,0.0004000000,31.8,0.1
2026-09-04T13:31:02.696+00:00,B_sell_A_buy,16.1971,10.2971,363.91,363.92,1.92,22.329,364.51,364.71,2.262,0.2726,0.0000062500,0.0004000000,31.8,0.1
2026-09-04T13:31:02.696+00:00,A_sell_B_buy,-21.9672,-27.8672,363.91,363.92,1.92,22.329,364.18,364.71,0.2742,0.2726,0.0000062500,0.0004000000,32.1,0.4
2026-09-04T13:31:02.696+00:00,B_sell_A_buy,7.1393,1.2393,363.91,363.92,1.92,22.329,364.18,364.71,0.2742,0.2726,0.0000062500,0.0004000000,32.1,0.4
2026-09-04T13:31:02.719+00:00,A_sell_B_buy,-21.9652,-27.8652,363.91,363.92,1.92,22.329,364.31,364.71,82.2304,0.2726,0.0000062500,0.0004000000,54.3,0.1
2026-09-04T13:31:02.719+00:00,B_sell_A_buy,10.7080,4.8080,363.91,363.92,1.92,22.329,364.31,364.71,82.2304,0.2726,0.0000062500,0.0004000000,54.3,0.1
2026-09-04T13:31:02.730+00:00,A_sell_B_buy,-23.8883,-29.7883,363.84,363.92,0.413,22.329,364.31,364.71,82.2304,0.2726,0.0000062500,0.0004000000,0.1,10.6
2026-09-04T13:31:02.730+00:00,B_sell_A_buy,10.7085,4.8085,363.84,363.92,0.413,22.329,364.31,364.71,82.2304,0.2726,0.0000062500,0.0004000000,0.1,10.6
2026-09-04T13:31:02.730+00:00,A_sell_B_buy,-23.8942,-29.7942,363.84,363.92,0.413,22.329,363.95,364.71,1.0515,0.2726,0.0000062500,0.0004000000,0.1,0.1
2026-09-04T13:31:02.730+00:00,B_sell_A_buy,0.8239,-5.0761,363.84,363.92,0.413,22.329,363.95,364.71,1.0515,0.2726,0.0000062500,0.0004000000,0.1,0.1
2026-09-04T13:31:02.738+00:00,A_sell_B_buy,-19.5020,-25.4020,363.84,363.92,0.413,22.329,363.95,364.55,1.0515,1.0935,0.0000062500,0.0004000000,9.0,0.1
2026-09-04T13:31:02.738+00:00,B_sell_A_buy,0.8240,-5.0760,363.84,363.92,0.413,22.329,363.95,364.55,1.0515,1.0935,0.0000062500,0.0004000000,9.0,0.1
2026-09-04T13:31:02.745+00:00,A_sell_B_buy,-19.5035,-25.4035,363.84,363.92,0.413,22.329,363.84,364.55,0.2746,1.0935,0.0000062500,0.0004000000,15.9,0.1
2026-09-04T13:31:02.745+00:00,B_sell_A_buy,-2.1976,-8.0976,363.84,363.92,0.413,22.329,363.84,364.55,0.2746,1.0935,0.0000062500,0.0004000000,15.9,0.1
2026-09-04T13:31:02.762+00:00,A_sell_B_buy,-19.4988,-25.3988,363.84,363.92,0.413,22.329,364.19,364.55,2.262,1.0935,0.0000062500,0.0004000000,32.8,0.0
2026-09-04T13:31:02.762+00:00,B_sell_A_buy,7.4150,1.5150,363.84,363.92,0.413,22.329,364.19,364.55,2.262,1.0935,0.0000062500,0.0004000000,32.8,0.0
2026-09-04T13:31:02.786+00:00,A_sell_B_buy,-16.4791,-22.3791,363.84,363.92,0.413,22.329,364.19,364.44,2.262,0.2711,0.0000062500,0.0004000000,56.8,0.1
2026-09-04T13:31:02.786+00:00,B_sell_A_buy,7.4156,1.5156,363.84,363.92,0.413,22.329,364.19,364.44,2.262,0.2711,0.0000062500,0.0004000000,56.8,0.1
2026-09-04T13:31:02.814+00:00,A_sell_B_buy,-16.4790,-22.3790,363.84,363.92,0.413,22.329,364.2,364.44,1.0554,0.2711,0.0000062500,0.0004000000,84.8,0.1
2026-09-04T13:31:02.814+00:00,B_sell_A_buy,7.6902,1.7902,363.84,363.92,0.413,22.329,364.2,364.44,1.0554,0.2711,0.0000062500,0.0004000000,84.8,0.1
2026-09-04T13:31:02.894+00:00,A_sell_B_buy,-6.3133,-12.2133,364.21,364.4,22.327,0.033,364.2,364.44,1.0554,0.2711,0.0000062500,0.0004000000,0.1,80.0
2026-09-04T13:31:02.894+00:00,B_sell_A_buy,-5.4898,-11.3898,364.21,364.4,22.327,0.033,364.2,364.44,1.0554,0.2711,0.0000062500,0.0004000000,0.1,80.0
2026-09-04T13:31:02.935+00:00,A_sell_B_buy,-6.3130,-12.2130,364.21,364.45,22.327,0.084,364.2,364.44,1.0554,0.2711,0.0000062500,0.0004000000,0.0,121.2
2026-09-04T13:31:02.935+00:00,B_sell_A_buy,-6.8620,-12.7620,364.21,364.45,22.327,0.084,364.2,364.44,1.0554,0.2711,0.0000062500,0.0004000000,0.0,121.2
2026-09-04T13:31:02.988+00:00,A_sell_B_buy,-6.3120,-12.2120,364.21,364.45,22.327,0.084,364.43,364.44,0.9791,0.2711,0.0000062500,0.0004000000,53.5,0.0
2026-09-04T13:31:02.988+00:00,B_sell_A_buy,-0.5489,-6.4489,364.21,364.45,22.327,0.084,364.43,364.44,0.9791,0.2711,0.0000062500,0.0004000000,53.5,0.0
2026-09-04T13:31:03.013+00:00,A_sell_B_buy,-12.8964,-18.7964,364.21,364.45,22.327,0.084,364.43,364.68,0.9791,8.2828,0.0000062500,0.0004000000,78.1,0.0
2026-09-04T13:31:03.013+00:00,B_sell_A_buy,-0.5488,-6.4488,364.21,364.45,22.327,0.084,364.43,364.68,0.9791,8.2828,0.0000062500,0.0004000000,78.1,0.0
2026-09-04T13:31:03.025+00:00,A_sell_B_buy,-15.0907,-20.9907,364.21,364.45,22.327,0.084,364.43,364.76,0.9791,68.6949,0.0000062500,0.0004000000,90.0,0.0
2026-09-04T13:31:03.025+00:00,B_sell_A_buy,-0.5488,-6.4488,364.21,364.45,22.327,0.084,364.43,364.76,0.9791,68.6949,0.0000062500,0.0004000000,90.0,0.0
2026-09-04T13:31:03.029+00:00,A_sell_B_buy,-16.1878,-22.0878,364.21,364.45,22.327,0.084,364.43,364.8,0.9791,0.0384,0.0000062500,0.0004000000,94.7,0.0
2026-09-04T13:31:03.029+00:00,B_sell_A_buy,-0.5487,-6.4487,364.21,364.45,22.327,0.084,364.43,364.8,0.9791,0.0384,0.0000062500,0.0004000000,94.7,0.0
2026-09-04T13:31:03.034+00:00,A_sell_B_buy,-16.1904,-22.0904,364.21,364.45,22.327,0.084,364.19,364.8,2.262,0.0384,0.0000062500,0.0004000000,99.4,0.0
2026-09-04T13:31:03.034+00:00,B_sell_A_buy,-7.1348,-13.0348,364.21,364.45,22.327,0.084,364.19,364.8,2.262,0.0384,0.0000062500,0.0004000000,99.4,0.0
2026-09-04T13:31:03.034+00:00,A_sell_B_buy,-16.1898,-22.0898,364.21,364.45,22.327,0.084,364.25,364.8,5.4897,0.0384,0.0000062500,0.0004000000,99.4,0.1
2026-09-04T13:31:03.034+00:00,B_sell_A_buy,-5.4881,-11.3881,364.21,364.45,22.327,0.084,364.25,364.8,5.4897,0.0384,0.0000062500,0.0004000000,99.4,0.1
2026-09-04T13:31:03.051+00:00,A_sell_B_buy,-16.1878,-22.0878,364.21,364.45,22.327,0.084,364.43,364.8,1.0114,0.0384,0.0000062500,0.0004000000,116.5,0.0
2026-09-04T13:31:03.051+00:00,B_sell_A_buy,-0.5487,-6.4487,364.21,364.45,22.327,0.084,364.43,364.8,1.0114,0.0384,0.0000062500,0.0004000000,116.5,0.0
2026-09-04T13:31:03.081+00:00,A_sell_B_buy,-16.1877,-22.0877,364.21,364.45,22.327,0.084,364.44,364.8,2.262,0.0384,0.0000062500,0.0004000000,146.2,0.0
2026-09-04T13:31:03.081+00:00,B_sell_A_buy,-0.2744,-6.1744,364.21,364.45,22.327,0.084,364.44,364.8,2.262,0.0384,0.0000062500,0.0004000000,146.2,0.0
2026-09-04T13:31:03.095+00:00,A_sell_B_buy,-14.5404,-20.4404,364.27,364.5,6.207,0.624,364.44,364.8,2.262,0.0384,0.0000062500,0.0004000000,0.0,13.7
2026-09-04T13:31:03.095+00:00,B_sell_A_buy,-1.6461,-7.5461,364.27,364.5,6.207,0.624,364.44,364.8,2.262,0.0384,0.0000062500,0.0004000000,0.0,13.7
2026-09-04T13:31:03.131+00:00,A_sell_B_buy,-14.5403,-20.4403,364.27,364.5,6.207,0.624,364.45,364.8,0.9332,0.0384,0.0000062500,0.0004000000,35.8,0.0
2026-09-04T13:31:03.131+00:00,B_sell_A_buy,-1.3717,-7.2717,364.27,364.5,6.207,0.624,364.45,364.8,0.9332,0.0384,0.0000062500,0.0004000000,35.8,0.0
2026-09-04T13:31:03.152+00:00,A_sell_B_buy,-13.9918,-19.8918,364.27,364.5,6.207,0.624,364.45,364.78,0.9332,68.6949,0.0000062500,0.0004000000,56.6,0.0
2026-09-04T13:31:03.152+00:00,B_sell_A_buy,-1.3717,-7.2717,364.27,364.5,6.207,0.624,364.45,364.78,0.9332,68.6949,0.0000062500,0.0004000000,56.6,0.0
2026-09-04T13:31:03.239+00:00,A_sell_B_buy,-13.7175,-19.6175,364.27,364.5,6.207,0.624,364.45,364.77,0.9332,8.2828,0.0000062500,0.0004000000,144.1,0.1
2026-09-04T13:31:03.239+00:00,B_sell_A_buy,-1.3718,-7.2718,364.27,364.5,6.207,0.624,364.45,364.77,0.9332,8.2828,0.0000062500,0.0004000000,144.1,0.1
2026-09-04T13:31:03.244+00:00,A_sell_B_buy,-13.7175,-19.6175,364.27,364.5,6.207,0.624,364.45,364.77,0.9332,16.5656,0.0000062500,0.0004000000,148.4,0.0
2026-09-04T13:31:03.244+00:00,B_sell_A_buy,-1.3718,-7.2718,364.27,364.5,6.207,0.624,364.45,364.77,0.9332,16.5656,0.0000062500,0.0004000000,148.4,0.0
2026-09-04T13:31:03.301+00:00,A_sell_B_buy,-13.7176,-19.6176,364.27,364.5,6.207,0.624,364.44,364.77,2.262,16.5656,0.0000062500,0.0004000000,206.5,0.0
